Kabupaten/Kota,Tahun,Garis Kemiskinan,Indeks Pembangunan Manusia,Jumlah Penduduk Miskin,Indeks Kedalaman Kemiskinan,Indeks Keparahan Kemiskinan,Pengeluaran Perkapita Bahan Makanan Lainnya,Pengeluaran Perkapita Bahan Minuman,Pengeluaran Perkapita Buah-Buahan,Pengeluaran Perkapita Daging,Pengeluaran Perkapita Kacang-Kacangan,Pengeluaran Perkapita Bahan Minyak dan Kelapa,Pengeluaran Perkapita Padi-Padian,Pengeluaran Perkapita Rokok dan Tembakau,Pengeluaran Perkapita Telur dan Susu,Pengeluaran Perkapita Umbi-Umbian,Persentase Penduduk Miskin,Prevalensi Konsumsi Pangan Tidak Cukup,Rata-rata Lama Sekolah_Laki-laki,Rata-rata Lama Sekolah_Perempuan,NCPR,Kemiskinan (%),Pengeluaran Pangan (%),Tanpa Listrik (%),Tanpa Air Bersih (%),Rasio Tenaga Kesehatan,Angka Harapan Hidup,Stunting (%),Kelompok IKP
Aceh Barat,2018,447089.0,70.47,39.56,3.91,1.13,1596.38,4203.72,5558.0,2815.84,1574.21,3603.83,17478.5,25505.96,5793.05,1016.09,19.31,8.01,9.45,8.83,0.42,20.28,42.1,2.29,33.76,2.32,67.62,33.2,5
Aceh Barat,2019,471058.0,71.22,39.29,3.53,0.97,1617.34,3978.93,7009.0,3115.17,1554.97,4105.63,17903.88,22338.77,5385.41,997.98,18.79,7.74,9.46,8.84,0.68,19.31,40.58,1.45,29.88,2.75,67.72,32.63,5
Aceh Barat,2020,517264.0,71.38,39.06,2.74,0.68,1906.06,3908.43,8432.0,4125.04,2049.18,4292.58,17316.41,26227.26,6762.96,1377.97,18.34,6.4,9.71,9.15,0.71,18.79,20.21,0.48,20.25,2.73,67.93,0.0,6
Aceh Barat,2021,533712.0,71.67,39.83,3.82,1.09,2064.32,3931.38,9377.0,5878.02,2187.72,4772.75,20506.28,30775.45,6965.66,1632.07,18.81,4.09,9.82,9.39,0.56,18.34,29.72,0.43,24.74,2.38,67.98,0.0,6
Aceh Barat,2022,558638.0,72.34,38.46,2.22,0.45,2011.67,4036.28,11058.28,5881.19,2194.79,5623.14,16938.04,29389.57,6443.15,2018.24,17.93,6.55,10.15,9.58,0.56,18.81,38.49,0.0,21.76,1.82,67.99,27.4,6
Aceh Barat,2023,616091.0,72.88,38.84,2.47,0.53,1817.89,3618.39,9451.44,4699.67,1990.61,5324.58,18745.79,36364.66,5885.23,1658.65,17.86,6.16,10.16,9.8,0.59,17.93,28.02,0.0,18.32,1.69,68.19,33.6,6
Aceh Barat,2024,644009.0,73.69,38.79,3.02,0.75,1868.0,3854.0,11160.0,5427.0,2031.0,5011.0,22010.0,30301.0,6195.0,1598.0,17.6,8.41,10.17,9.81,0.67,17.86,31.65,0.0,23.36,1.46,68.34,33.4,6
Aceh Barat Daya,2018,340903.0,65.67,25.23,2.15,0.46,1140.96,3188.97,3218.0,1567.76,900.31,3657.14,20602.7,14182.76,4252.43,529.22,17.1,10.92,8.37,8.05,0.59,18.31,51.54,0.95,45.1,1.95,64.51,31.6,5
Aceh Barat Daya,2019,358059.0,66.56,24.36,1.97,0.36,1169.56,3242.45,4820.0,1547.9,913.74,3414.08,18807.57,18020.76,4000.95,644.7,16.26,11.29,8.59,8.3,0.35,17.1,57.39,1.96,55.03,2.55,64.65,35.41,5
Aceh Barat Daya,2020,393640.0,66.75,24.21,3.41,0.9,1335.73,3961.45,4767.0,1904.74,1208.49,3745.97,19445.52,20489.48,3686.39,896.21,15.93,8.63,8.92,8.52,0.37,16.26,42.51,0.41,31.27,2.23,64.91,0.0,6
Aceh Barat Daya,2021,406157.0,66.99,25.06,2.88,0.74,1296.61,3624.38,4168.0,2755.72,1094.49,3914.75,19387.24,20216.02,4373.83,848.86,16.34,7.99,8.93,8.53,0.36,15.93,44.38,0.7,30.23,1.52,65.0,0.0,6
Aceh Barat Daya,2022,430297.0,67.41,24.0,1.69,0.3,1595.37,3523.51,5113.17,2127.6,950.95,4316.53,18292.25,24442.14,3570.57,738.81,15.44,12.82,8.94,8.54,0.36,16.34,41.58,0.0,28.54,1.46,65.06,33.2,6
Aceh Barat Daya,2023,474127.0,68.07,24.31,3.15,0.98,1842.8,3998.51,5656.33,1989.4,1277.29,4819.05,22317.81,24602.11,4396.2,828.86,15.43,9.64,8.96,8.66,0.42,15.44,52.71,0.0,21.67,1.66,65.3,35.2,6
Aceh Barat Daya,2024,516947.0,68.75,24.44,2.31,0.46,2177.0,4449.0,7231.0,3518.0,1511.0,4942.0,25108.0,27257.0,4885.0,1022.0,15.32,8.81,8.97,8.67,0.53,15.43,39.09,0.0,24.17,1.7,65.48,27.9,6
Aceh Besar,2018,422051.0,72.73,60.08,3.4,1.1,1704.44,3140.79,6065.0,3661.98,1632.46,2928.22,13713.75,14103.41,7712.87,982.47,14.47,6.7,10.39,9.74,0.55,15.41,54.6,0.82,26.99,1.78,69.52,31.2,6
Aceh Besar,2019,447563.0,73.55,58.9,2.56,0.69,1662.43,3149.98,4916.0,3939.52,1504.9,3186.53,14095.64,17630.63,6915.03,860.42,13.92,7.1,10.51,10.1,0.48,14.47,36.78,1.03,11.35,1.72,69.59,38.72,6
Aceh Besar,2020,477938.0,73.56,59.7,2.4,0.61,1833.81,3355.48,5716.0,4291.8,1818.54,3338.5,14547.15,15995.95,7060.66,1169.18,13.84,9.63,10.52,10.11,0.4,13.92,37.93,0.84,7.72,1.96,69.77,0.0,6
Aceh Besar,2021,489498.0,73.58,60.26,2.32,0.58,2306.36,3714.83,5527.0,4683.05,1776.45,3720.78,16272.3,20261.32,6245.72,1209.45,14.05,5.91,10.53,10.13,0.39,13.84,35.14,0.19,11.28,1.78,69.78,0.0,6
Aceh Besar,2022,519320.0,74.0,58.18,2.09,0.58,2165.83,3575.18,6509.6,4348.1,1774.67,3684.23,16446.69,15647.48,5529.55,1260.01,13.38,10.46,10.55,10.31,0.36,14.05,42.98,0.26,16.28,1.74,69.79,32.4,6
Aceh Besar,2023,564431.0,74.53,58.94,2.0,0.43,2069.85,3282.2,5480.57,4318.32,1653.53,3612.19,19191.39,18198.26,7769.65,1270.28,13.38,8.58,10.56,10.36,0.37,13.38,28.21,0.05,9.93,2.15,69.99,32.0,6
