Kabupaten/Kota,Tahun,Angka Harapan Hidup
Aceh Barat,2018,65.69
Aceh Barat,2019,65.89
Aceh Barat,2020,65.95
Aceh Barat,2021,65.96
Aceh Barat,2022,66.13
Aceh Barat,2023,66.4
Aceh Barat,2024,66.54
Aceh Barat Daya,2018,62.68
Aceh Barat Daya,2019,62.94
Aceh Barat Daya,2020,63.04
Aceh Barat Daya,2021,63.1
Aceh Barat Daya,2022,63.31
Aceh Barat Daya,2023,63.6
Aceh Barat Daya,2024,63.76
Aceh Besar,2018,67.63
Aceh Besar,2019,67.74
Aceh Besar,2020,67.8
Aceh Besar,2021,67.8
Aceh Besar,2022,67.96
Aceh Besar,2023,68.22
Aceh Besar,2024,68.37
Aceh Jaya,2018,64.86
Aceh Jaya,2019,65.08
Aceh Jaya,2020,65.16
Aceh Jaya,2021,65.19
Aceh Jaya,2022,65.37
Aceh Jaya,2023,65.62
Aceh Jaya,2024,65.75
Aceh Selatan,2018,62.06
Aceh Selatan,2019,62.31
Aceh Selatan,2020,62.4
Aceh Selatan,2021,62.46
Aceh Selatan,2022,62.68
Aceh Selatan,2023,62.94
Aceh Selatan,2024,63.1
Aceh Singkil,2018,65.22
Aceh Singkil,2019,65.34
Aceh Singkil,2020,65.39
Aceh Singkil,2021,65.4
Aceh Singkil,2022,65.56
Aceh Singkil,2023,65.84
Aceh Singkil,2024,65.94
Aceh Tamiang,2018,67.26
Aceh Tamiang,2019,67.49
Aceh Tamiang,2020,67.56
Aceh Tamiang,2021,67.59
Aceh Tamiang,2022,67.78
Aceh Tamiang,2023,68.12
Aceh Tamiang,2024,68.29
Aceh Tengah,2018,66.75
Aceh Tengah,2019,66.79
Aceh Tengah,2020,66.8
Aceh Tengah,2021,66.8
Aceh Tengah,2022,66.95
Aceh Tengah,2023,67.25
Aceh Tengah,2024,67.36
Aceh Tenggara,2018,65.74
Aceh Tenggara,2019,66.0
Aceh Tenggara,2020,66.11
Aceh Tenggara,2021,66.17
Aceh Tenggara,2022,66.39
Aceh Tenggara,2023,66.71
Aceh Tenggara,2024,66.84
Aceh Timur,2018,66.39
Aceh Timur,2019,66.63
Aceh Timur,2020,66.72
Aceh Timur,2021,66.76
Aceh Timur,2022,66.92
Aceh Timur,2023,67.14
Aceh Timur,2024,67.25
Aceh Utara,2018,66.7
Aceh Utara,2019,66.75
Aceh Utara,2020,66.78
Aceh Utara,2021,66.78
Aceh Utara,2022,66.94
Aceh Utara,2023,67.21
Aceh Utara,2024,67.35
Agam,2018,69.84
Agam,2019,70.19
Agam,2020,70.41
Agam,2021,70.58
Agam,2022,70.93
Agam,2023,71.15
Agam,2024,71.31
Alor,2018,58.92
Alor,2019,59.38
Alor,2020,59.6
Alor,2021,59.78
