Kabupaten/Kota,Kelompok IKP,Tahun,NCPR,Kemiskinan (%),Pengeluaran Pangan (%),Tanpa Listrik (%),Tanpa Air Bersih (%),Lama Sekolah Perempuan (tahun),Rasio Tenaga Kesehatan,Angka Harapan Hidup (tahun),Stunting (%)
Aceh Selatan,4,2018,0.69,14.07,69.08,0.5,53.23,8.41,5.49,63.89,44.9
Aceh Tenggara,5,2018,0.33,14.86,58.78,2.02,56.35,9.63,4.86,67.62,38.2
Aceh Timur,5,2018,0.51,15.25,47.94,0.6,50.06,8.23,3.68,68.33,43.6
Aceh Tengah,4,2018,1.79,16.84,42.96,0.0,53.57,9.85,3.85,68.53,37.2
Aceh Barat,5,2018,0.42,20.28,42.1,2.29,33.76,9.38,2.32,67.62,33.2
Aceh Besar,6,2018,0.55,15.41,54.6,0.82,26.99,9.64,1.78,69.52,31.2
Pidie,5,2018,0.5,21.43,64.65,1.96,52.11,8.87,1.18,66.58,43.7
Aceh Utara,5,2018,0.52,19.78,68.89,2.1,50.32,8.31,1.59,68.54,35.9
Simeulue,5,2018,0.67,20.2,55.69,1.42,30.36,8.98,2.12,64.9,35.7
Aceh Singkil,2,2018,4.31,22.11,40.27,1.07,42.45,8.04,3.05,67.07,38.7
Bireuen,5,2018,0.64,15.87,47.4,1.1,48.25,9.18,0.71,70.8,34.4
Aceh Barat Daya,5,2018,0.59,18.31,51.54,0.95,45.1,8.92,1.95,64.51,31.6
Gayo Lues,5,2018,0.4,21.97,49.88,0.7,43.78,7.99,7.99,64.98,38.5
Aceh Jaya,5,2018,0.25,14.85,52.83,0.0,42.31,8.42,7.44,66.77,38.3
Nagan Raya,5,2018,0.33,19.34,52.24,0.49,56.79,8.47,4.87,68.76,26.2
Aceh Tamiang,6,2018,0.53,14.69,35.35,0.28,23.93,9.02,2.83,69.16,32.4
Bener Meriah,2,2018,5.0,21.14,54.93,0.84,47.16,9.67,2.25,68.9,37.6
Pidie Jaya,5,2018,0.51,21.82,61.14,0.28,46.06,9.03,1.21,69.68,34.6
Kota Banda Aceh,6,2018,50.0,7.44,43.09,0.1,0.82,11.86,0.02,70.96,25.1
Kota Sabang,4,2018,50.0,17.66,58.71,0.0,9.39,11.05,0.48,70.09,29.8
Kota Lhokseumawe,5,2018,50.0,12.32,51.14,0.0,11.97,10.78,0.06,71.14,25.2
Kota Langsa,5,2018,50.0,11.24,49.93,0.13,15.0,10.95,0.21,69.06,26.7
Kota Subulussalam,1,2018,50.0,19.71,59.43,1.16,47.9,8.06,1.0,63.56,47.4
Tapanuli Tengah,5,2018,0.59,14.66,50.77,4.1,59.24,8.54,2.52,66.66,28.2
Tapanuli Utara,5,2018,0.38,11.35,70.97,3.86,51.03,9.4,2.6,67.86,24.2
Tapanuli Selatan,5,2018,0.42,10.6,63.53,5.28,63.86,9.02,8.43,64.28,32.4
Nias,4,2018,0.8,18.11,60.16,32.17,59.99,5.08,1.8,69.18,41.6
Langkat,6,2018,0.61,11.15,42.84,0.32,39.45,8.79,2.05,67.94,26.2
Karo,6,2018,0.33,9.97,62.56,0.73,41.69,9.68,2.18,70.77,30.8
Deli Serdang,6,2018,0.9,4.62,40.27,0.53,20.36,9.75,0.6,71.11,33.3
Simalungun,6,2018,0.2,10.65,51.34,0.31,41.73,9.02,1.86,70.53,36.7
Asahan,5,2018,1.55,11.67,44.8,1.06,25.03,8.78,2.77,67.57,24.6
Labuhanbatu,6,2018,0.84,8.89,41.91,2.51,37.5,9.21,2.27,69.44,33.1
Dairi,6,2018,0.35,8.87,60.18,2.01,54.06,9.17,2.33,68.13,29.6
Toba Samosir,6,2018,0.28,10.19,57.74,4.41,47.51,9.62,2.48,69.36,36.2
Mandailing Natal,4,2018,0.47,11.02,61.46,7.47,63.39,8.36,17.06,61.97,39.7
Nias Selatan,4,2018,0.57,18.48,48.72,34.76,77.31,5.96,1.97,68.0,39.2
Pakpak Bharat,5,2018,0.62,10.53,66.15,2.85,59.22,8.35,3.94,65.05,28.3
Humbang Hasundutan,5,2018,0.44,9.85,54.47,1.45,53.1,9.25,6.95,68.41,41.5
Samosir,5,2018,0.7,14.72,59.1,1.15,51.0,8.62,4.22,70.68,33.1
Serdang Bedagai,6,2018,0.2,9.3,62.95,0.32,37.86,8.44,1.45,67.79,31.6
Batu Bara,6,2018,0.62,12.48,42.11,0.27,31.36,8.17,1.46,66.1,20.1
Padang Lawas Utara,5,2018,0.41,10.7,57.94,6.71,54.77,8.77,5.65,66.58,32.2
Padang Lawas,4,2018,1.07,9.1,70.2,7.05,66.89,8.57,4.86,66.5,40.5
Labuhanbatu Selatan,2,2018,5.0,11.63,46.97,1.57,34.6,8.73,4.41,68.14,25.9
Labuhanbatu Utara,6,2018,0.51,11.28,51.25,1.43,44.07,8.46,3.43,68.91,23.6
Nias Utara,3,2018,1.48,29.06,51.9,30.3,54.14,6.09,3.2,68.77,41.6
Nias Barat,3,2018,1.39,27.23,57.04,20.23,58.66,5.77,1.34,68.28,45.5
Kota Medan,6,2018,50.0,9.11,47.68,0.0,4.44,11.06,0.04,72.4,8.4
Kota Pematangsiantar,6,2018,50.0,10.1,51.81,0.0,10.69,11.45,0.04,72.63,22.7
Kota Sibolga,5,2018,50.0,13.69,55.17,0.65,9.96,9.91,0.07,68.05,20.9
Kota Tanjung Balai,3,2018,50.0,14.46,63.26,0.39,7.34,9.28,0.16,62.28,29.8
Kota Binjai,5,2018,50.0,6.75,53.42,0.23,24.92,10.73,0.04,71.75,29.7
Kota Tebing Tinggi,4,2018,50.0,11.9,56.44,0.49,22.02,10.1,0.04,70.28,27.0
Kota Padang Sidimpuan,4,2018,0.93,8.25,54.5,0.3,38.08,10.94,0.18,68.41,35.7
Kota Gunungsitoli,2,2018,50.0,21.66,55.17,1.73,34.08,8.19,0.57,70.42,35.8
Pesisir Selatan,6,2018,0.4,7.79,45.39,1.47,35.45,8.35,6.61,70.25,27.5
Solok,5,2018,0.29,9.06,54.54,4.69,48.05,8.16,3.98,67.65,39.9
Sijunjung,5,2018,0.72,7.35,58.36,2.15,41.46,8.2,5.69,65.44,38.7
Tanah Datar,6,2018,0.33,5.56,47.33,1.5,40.16,8.61,2.04,69.11,33.0
Padang Pariaman,6,2018,0.4,8.46,43.37,1.66,48.73,7.65,1.48,67.96,33.6
