Kabupaten/Kota,Tahun,Garis Kemiskinan
Aceh Barat,2018,447089.0
Aceh Barat,2019,471058.0
Aceh Barat,2020,517264.0
Aceh Barat,2021,533712.0
Aceh Barat,2022,558638.0
Aceh Barat,2023,616091.0
Aceh Barat,2024,644009.0
Aceh Barat Daya,2018,340903.0
Aceh Barat Daya,2019,358059.0
Aceh Barat Daya,2020,393640.0
Aceh Barat Daya,2021,406157.0
Aceh Barat Daya,2022,430297.0
Aceh Barat Daya,2023,474127.0
Aceh Barat Daya,2024,516947.0
Aceh Besar,2018,422051.0
Aceh Besar,2019,447563.0
Aceh Besar,2020,477938.0
Aceh Besar,2021,489498.0
Aceh Besar,2022,519320.0
Aceh Besar,2023,564431.0
Aceh Besar,2024,586860.0
Aceh Jaya,2018,373690.0
Aceh Jaya,2019,391677.0
Aceh Jaya,2020,428094.0
Aceh Jaya,2021,441706.0
Aceh Jaya,2022,468854.0
Aceh Jaya,2023,515244.0
Aceh Jaya,2024,536092.0
Aceh Selatan,2018,351288.0
Aceh Selatan,2019,369107.0
Aceh Selatan,2020,405786.0
Aceh Selatan,2021,418689.0
Aceh Selatan,2022,446224.0
Aceh Selatan,2023,494565.0
Aceh Selatan,2024,528243.0
Aceh Singkil,2018,427804.0
Aceh Singkil,2019,450217.0
Aceh Singkil,2020,473983.0
Aceh Singkil,2021,487249.0
Aceh Singkil,2022,518951.0
Aceh Singkil,2023,568691.0
Aceh Singkil,2024,609322.0
Aceh Tamiang,2018,420841.0
Aceh Tamiang,2019,437991.0
Aceh Tamiang,2020,459387.0
Aceh Tamiang,2021,479801.0
Aceh Tamiang,2022,508599.0
Aceh Tamiang,2023,555387.0
Aceh Tamiang,2024,583294.0
Aceh Tengah,2018,445250.0
Aceh Tengah,2019,468577.0
Aceh Tengah,2020,492227.0
Aceh Tengah,2021,505933.0
Aceh Tengah,2022,533810.0
Aceh Tengah,2023,584863.0
Aceh Tengah,2024,626090.0
Aceh Tenggara,2018,340196.0
Aceh Tenggara,2019,357015.0
Aceh Tenggara,2020,392493.0
Aceh Tenggara,2021,404725.0
Aceh Tenggara,2022,430825.0
Aceh Tenggara,2023,471301.0
Aceh Tenggara,2024,496074.0
Aceh Timur,2018,398493.0
Aceh Timur,2019,417715.0
Aceh Timur,2020,440455.0
Aceh Timur,2021,460422.0
Aceh Timur,2022,491550.0
Aceh Timur,2023,530934.0
Aceh Timur,2024,557943.0
Aceh Utara,2018,340086.0
Aceh Utara,2019,353856.0
Aceh Utara,2020,375394.0
Aceh Utara,2021,392412.0
Aceh Utara,2022,420615.0
Aceh Utara,2023,454361.0
Aceh Utara,2024,473719.0
Agam,2018,341372.0
Agam,2019,379304.0
Agam,2020,424728.0
Agam,2021,444711.0
Agam,2022,485222.0
Agam,2023,530290.0
Agam,2024,558963.0
Alor,2018,305853.0
Alor,2019,311560.0
Alor,2020,336402.0
Alor,2021,364939.0
Alor,2022,400858.0
Alor,2023,438013.0
Alor,2024,446875.0
Asahan,2018,315420.0
Asahan,2019,330460.0
Asahan,2020,351314.0
Asahan,2021,377752.0
Asahan,2022,397944.0
Asahan,2023,427293.0
Asahan,2024,454298.0
Asmat,2018,354478.0
Asmat,2019,364728.0
Asmat,2020,383790.0
Asmat,2021,405368.0
Asmat,2022,424978.0
Asmat,2023,450237.0
Asmat,2024,487035.0
Badung,2018,534069.0
Badung,2019,547186.0
Badung,2020,587737.0
Badung,2021,613993.0
Badung,2022,633769.0
Badung,2023,688018.0
Badung,2024,737800.0
Balangan,2018,382835.0
Balangan,2019,396532.0
Balangan,2020,441488.0
Balangan,2021,453928.0
Balangan,2022,476190.0
Balangan,2023,508157.0
Balangan,2024,528104.0
Bandung,2018,334929.0
Bandung,2019,345177.0
Bandung,2020,367403.0
Bandung,2021,378819.0
Bandung,2022,398884.0
Bandung,2023,426069.0
Bandung,2024,455636.0
Bandung Barat,2018,329415.0
Bandung Barat,2019,341307.0
Bandung Barat,2020,362212.0
Bandung Barat,2021,374470.0
Bandung Barat,2022,393956.0
Bandung Barat,2023,426355.0
Bandung Barat,2024,455325.0
Banggai,2018,373695.0
Banggai,2019,395700.0
Banggai,2020,417863.0
Banggai,2021,431639.0
Banggai,2022,457335.0
Banggai,2023,488788.0
Banggai,2024,515334.0
Banggai Kepulauan,2018,317475.0
Banggai Kepulauan,2019,338815.0
Banggai Kepulauan,2020,364025.0
Banggai Kepulauan,2021,373799.0
Banggai Kepulauan,2022,396904.0
Banggai Kepulauan,2023,432673.0
Banggai Kepulauan,2024,453552.0
Banggai Laut,2018,324734.0
Banggai Laut,2019,335604.0
Banggai Laut,2020,359768.0
Banggai Laut,2021,366005.0
Banggai Laut,2022,384686.0
Banggai Laut,2023,424660.0
Banggai Laut,2024,443877.0
Bangka,2018,497164.0
Bangka,2019,541925.0
Bangka,2020,577093.0
Bangka,2021,595429.0
Bangka,2022,639535.0
Bangka,2023,685810.0
Bangka,2024,723719.0
Bangka Barat,2018,520642.0
Bangka Barat,2019,549496.0
Bangka Barat,2020,589894.0
Bangka Barat,2021,599887.0
Bangka Barat,2022,635861.0
Bangka Barat,2023,681517.0
Bangka Barat,2024,720398.0
Bangka Selatan,2018,483823.0
Bangka Selatan,2019,523155.0
Bangka Selatan,2020,561617.0
Bangka Selatan,2021,581970.0
Bangka Selatan,2022,621629.0
Bangka Selatan,2023,669016.0
Bangka Selatan,2024,697382.0
Bangka Tengah,2018,680907.0
Bangka Tengah,2019,693842.0
Bangka Tengah,2020,721331.0
Bangka Tengah,2021,735479.0
Bangka Tengah,2022,773509.0
Bangka Tengah,2023,814969.0
Bangka Tengah,2024,856895.0
Bangkalan,2018,369455.0
Bangkalan,2019,389170.0
Bangkalan,2020,418908.0
Bangkalan,2021,432046.0
Bangkalan,2022,458754.0
Bangkalan,2023,503207.0
Bangkalan,2024,547017.0
Bangli,2018,327668.0
Bangli,2019,329014.0
Bangli,2020,346458.0
Bangli,2021,370732.0
Bangli,2022,401650.0
Bangli,2023,436928.0
Bangli,2024,465572.0
Banjar,2018,400081.0
Banjar,2019,429422.0
Banjar,2020,462375.0
Banjar,2021,482867.0
Banjar,2022,514991.0
Banjar,2023,561521.0
Banjar,2024,589165.0
Banjarnegara,2018,278210.0
Banjarnegara,2019,301792.0
Banjarnegara,2020,318334.0
Banjarnegara,2021,328679.0
Banjarnegara,2022,351333.0
Banjarnegara,2023,380046.0
