Provinsi,Kabupaten/Kota,Tahun,Kelompok IKP
Aceh,Simeulue,2018,5
Aceh,Aceh Singkil,2018,5
Aceh,Aceh Selatan,2018,5
Aceh,Aceh Tenggara,2018,2
Aceh,Aceh Timur,2018,4
Aceh,Aceh Tengah,2018,5
Aceh,Aceh Barat,2018,5
Aceh,Aceh Besar,2018,4
Aceh,Pidie,2018,5
Aceh,Bireuen,2018,5
Aceh,Aceh Utara,2018,6
Aceh,Aceh Barat Daya,2018,5
Aceh,Gayo Lues,2018,5
Aceh,Aceh Tamiang,2018,5
Aceh,Nagan Raya,2018,5
Aceh,Aceh Jaya,2018,6
Aceh,Bener Meriah,2018,2
Aceh,Pidie Jaya,2018,5
Sumatera Utara,Nias,2018,5
Sumatera Utara,Mandailing Natal,2018,6
Sumatera Utara,Tapanuli Selatan,2018,5
Sumatera Utara,Tapanuli Tengah,2018,4
Sumatera Utara,Tapanuli Utara,2018,4
Sumatera Utara,Toba Samosir,2018,6
Sumatera Utara,Labuhan Batu,2018,6
Sumatera Utara,Asahan,2018,6
Sumatera Utara,Simalungun,2018,5
Sumatera Utara,Dairi,2018,6
Sumatera Utara,Karo,2018,6
Sumatera Utara,Deli Serdang,2018,6
Sumatera Utara,Langkat,2018,5
Sumatera Utara,Nias Selatan,2018,4
Sumatera Utara,Humbang Hasundutan,2018,5
Sumatera Utara,Pakpak Bharat,2018,5
Sumatera Utara,Samosir,2018,5
Sumatera Utara,Serdang Bedagai,2018,6
Sumatera Utara,Batu Bara,2018,6
Sumatera Utara,Padang Lawas Utara,2018,5
Sumatera Utara,Padang Lawas,2018,4
Sumatera Utara,Labuhan Batu Selatan,2018,2
Sumatera Utara,Labuhan Batu Utara,2018,6
Sumatera Utara,Nias Utara,2018,3
Sumatera Utara,Nias Barat,2018,3
Sumatera Barat,Kepulauan Mentawai,2018,5
Sumatera Barat,Pesisir Selatan,2018,2
Sumatera Barat,Solok,2018,6
Sumatera Barat,Sijunjung,2018,5
Sumatera Barat,Tanah Datar,2018,5
Sumatera Barat,Padang Pariaman,2018,6
Sumatera Barat,Agam,2018,6
Sumatera Barat,Limapuluh Koto,2018,6
Sumatera Barat,Pasaman,2018,6
Sumatera Barat,Solok Selatan,2018,6
Sumatera Barat,Dharmas Raya,2018,6
Sumatera Barat,Pasaman Barat,2018,5
Riau,Kuantan Sengingi,2018,4
Riau,Indragiri Hulu,2018,3
Riau,Indragiri Hilir,2018,4
Riau,Pelalawan,2018,5
Riau,Siak,2018,3
Riau,Kampar,2018,5
Riau,Rokan Hulu,2018,3
Riau,Bengkalis,2018,4
Riau,Rokan Hilir,2018,3
Riau,Kepulauan Meranti,2018,2
Jambi,Kerinci,2018,6
Jambi,Merangin,2018,6
Jambi,Sarolangun,2018,5
Jambi,Batang Hari,2018,4
Jambi,Muaro Jambi,2018,4
Jambi,Tanjung Jabung Timur,2018,5
