Kabupaten/Kota,Tahun,Indeks Pembangunan Manusia
Aceh Barat,2018,70.47
Aceh Barat,2019,71.22
Aceh Barat,2020,71.38
Aceh Barat,2021,71.67
Aceh Barat,2022,72.34
Aceh Barat,2023,72.88
Aceh Barat,2024,73.69
Aceh Barat Daya,2018,65.67
Aceh Barat Daya,2019,66.56
Aceh Barat Daya,2020,66.75
Aceh Barat Daya,2021,66.99
Aceh Barat Daya,2022,67.41
Aceh Barat Daya,2023,68.07
Aceh Barat Daya,2024,68.75
Aceh Besar,2018,72.73
Aceh Besar,2019,73.55
Aceh Besar,2020,73.56
Aceh Besar,2021,73.58
Aceh Besar,2022,74.0
Aceh Besar,2023,74.53
Aceh Besar,2024,75.13
Aceh Jaya,2018,68.83
Aceh Jaya,2019,69.74
Aceh Jaya,2020,69.75
Aceh Jaya,2021,69.84
Aceh Jaya,2022,70.36
Aceh Jaya,2023,70.88
Aceh Jaya,2024,71.83
Aceh Selatan,2018,65.92
Aceh Selatan,2019,66.9
Aceh Selatan,2020,67.12
Aceh Selatan,2021,67.44
Aceh Selatan,2022,67.87
Aceh Selatan,2023,68.44
Aceh Selatan,2024,69.1
Aceh Singkil,2018,68.02
Aceh Singkil,2019,68.91
Aceh Singkil,2020,68.94
Aceh Singkil,2021,69.22
Aceh Singkil,2022,69.62
Aceh Singkil,2023,70.14
Aceh Singkil,2024,70.75
Aceh Tamiang,2018,68.45
Aceh Tamiang,2019,69.23
Aceh Tamiang,2020,69.24
Aceh Tamiang,2021,69.48
Aceh Tamiang,2022,70.43
Aceh Tamiang,2023,71.35
Aceh Tamiang,2024,72.32
Aceh Tengah,2018,72.64
Aceh Tengah,2019,73.14
Aceh Tengah,2020,73.24
Aceh Tengah,2021,73.37
Aceh Tengah,2022,73.95
Aceh Tengah,2023,74.6
Aceh Tengah,2024,75.41
Aceh Tenggara,2018,68.67
Aceh Tenggara,2019,69.36
Aceh Tenggara,2020,69.37
Aceh Tenggara,2021,69.44
Aceh Tenggara,2022,70.32
Aceh Tenggara,2023,71.05
Aceh Tenggara,2024,71.7
Aceh Timur,2018,66.82
Aceh Timur,2019,67.39
Aceh Timur,2020,67.63
Aceh Timur,2021,67.83
Aceh Timur,2022,68.72
Aceh Timur,2023,69.32
Aceh Timur,2024,69.87
Aceh Utara,2018,68.36
Aceh Utara,2019,69.22
Aceh Utara,2020,69.33
Aceh Utara,2021,69.46
Aceh Utara,2022,70.22
Aceh Utara,2023,70.87
Aceh Utara,2024,71.7
Agam,2018,71.7
Agam,2019,72.37
Agam,2020,72.46
Agam,2021,72.57
Agam,2022,73.29
Agam,2023,73.98
Agam,2024,74.66
Alor,2018,60.14
Alor,2019,61.03
Alor,2020,61.33
Alor,2021,61.37
Alor,2022,62.26
Alor,2023,62.99
Alor,2024,63.82
Asahan,2018,69.49
Asahan,2019,69.92
Asahan,2020,70.29
Asahan,2021,70.49
Asahan,2022,71.13
Asahan,2023,71.56
Asahan,2024,72.09
Asmat,2018,49.37
Asmat,2019,50.37
Asmat,2020,50.55
Asmat,2021,51.29
Asmat,2022,52.22
Asmat,2023,53.19
Asmat,2024,53.92
Badung,2018,80.87
Badung,2019,81.59
Badung,2020,81.6
Badung,2021,81.83
Badung,2022,82.13
Badung,2023,83.08
Badung,2024,83.87
Balangan,2018,67.88
Balangan,2019,68.39
Balangan,2020,68.82
Balangan,2021,69.11
Balangan,2022,69.73
Balangan,2023,70.49
Balangan,2024,71.34
Bandung,2018,71.75
Bandung,2019,72.41
Bandung,2020,72.39
Bandung,2021,72.73
Bandung,2022,73.16
Bandung,2023,73.74
Bandung,2024,74.27
Bandung Barat,2018,67.46
Bandung Barat,2019,68.27
Bandung Barat,2020,68.08
Bandung Barat,2021,68.29
Bandung Barat,2022,69.04
Bandung Barat,2023,69.61
Bandung Barat,2024,70.03
Banggai,2018,69.85
Banggai,2019,70.36
Banggai,2020,70.52
Banggai,2021,70.6
Banggai,2022,71.08
Banggai,2023,71.7
Banggai,2024,72.32
Banggai Kepulauan,2018,64.68
Banggai Kepulauan,2019,65.13
Banggai Kepulauan,2020,65.42
Banggai Kepulauan,2021,65.61
Banggai Kepulauan,2022,66.08
Banggai Kepulauan,2023,66.82
Banggai Kepulauan,2024,67.43
Banggai Laut,2018,64.8
Banggai Laut,2019,65.27
Banggai Laut,2020,65.43
Banggai Laut,2021,65.65
Banggai Laut,2022,66.22
Banggai Laut,2023,66.93
Banggai Laut,2024,67.43
Bangka,2018,71.8
Bangka,2019,72.39
Bangka,2020,72.4
Bangka,2021,72.46
Bangka,2022,72.95
Bangka,2023,73.66
Bangka,2024,73.98
Bangka Barat,2018,68.68
Bangka Barat,2019,69.05
Bangka Barat,2020,69.08
Bangka Barat,2021,69.6
Bangka Barat,2022,70.12
Bangka Barat,2023,70.45
Bangka Barat,2024,70.67
Bangka Selatan,2018,65.98
