Tahun,Jumlah Penduduk Miskin,Kabupaten/Kota
2018,39.56,Aceh Barat
2019,39.29,Aceh Barat
2020,39.06,Aceh Barat
2021,39.83,Aceh Barat
2022,38.46,Aceh Barat
2023,38.84,Aceh Barat
2024,38.79,Aceh Barat
2018,25.23,Aceh Barat Daya
2019,24.36,Aceh Barat Daya
2020,24.21,Aceh Barat Daya
2021,25.06,Aceh Barat Daya
2022,24.0,Aceh Barat Daya
2023,24.31,Aceh Barat Daya
2024,24.44,Aceh Barat Daya
2018,60.08,Aceh Besar
2019,58.9,Aceh Besar
2020,59.7,Aceh Besar
2021,60.26,Aceh Besar
2022,58.18,Aceh Besar
2023,58.94,Aceh Besar
2024,58.98,Aceh Besar
2018,12.85,Aceh Jaya
2019,12.35,Aceh Jaya
2020,12.11,Aceh Jaya
2021,12.63,Aceh Jaya
2022,12.13,Aceh Jaya
2023,12.22,Aceh Jaya
2024,12.24,Aceh Jaya
2018,32.82,Aceh Selatan
2019,31.06,Aceh Selatan
2020,30.91,Aceh Selatan
2021,32.25,Aceh Selatan
2022,30.78,Aceh Selatan
2023,30.36,Aceh Selatan
2024,30.53,Aceh Selatan
2018,25.74,Aceh Singkil
2019,25.66,Aceh Singkil
2020,25.43,Aceh Singkil
2021,25.48,Aceh Singkil
2022,24.33,Aceh Singkil
2023,24.62,Aceh Singkil
2024,24.84,Aceh Singkil
2018,41.21,Aceh Tamiang
2019,39.35,Aceh Tamiang
2020,38.93,Aceh Tamiang
2021,40.03,Aceh Tamiang
2022,38.25,Aceh Tamiang
2023,38.37,Aceh Tamiang
2024,37.76,Aceh Tamiang
2018,32.31,Aceh Tengah
2019,32.78,Aceh Tengah
2020,32.48,Aceh Tengah
2021,32.72,Aceh Tengah
2022,31.5,Aceh Tengah
2023,31.68,Aceh Tengah
2024,31.85,Aceh Tengah
2018,30.2,Aceh Tenggara
2019,28.93,Aceh Tenggara
2020,28.98,Aceh Tenggara
2021,29.31,Aceh Tenggara
2022,28.42,Aceh Tenggara
2023,27.96,Aceh Tenggara
2024,27.28,Aceh Tenggara
2018,61.64,Aceh Timur
2019,62.79,Aceh Timur
2020,62.34,Aceh Timur
2021,63.69,Aceh Timur
2022,62.16,Aceh Timur
2023,60.63,Aceh Timur
2024,60.86,Aceh Timur
2018,111.27,Aceh Utara
2019,107.34,Aceh Utara
2020,106.41,Aceh Utara
2021,109.49,Aceh Utara
2022,107.02,Aceh Utara
2023,106.77,Aceh Utara
2024,104.49,Aceh Utara
2018,32.92,Agam
2019,33.1,Agam
2020,33.31,Agam
2021,34.26,Agam
2022,31.33,Agam
2023,33.41,Agam
2024,34.82,Agam
2018,44.13,Alor
2019,44.32,Alor
2020,43.55,Alor
2021,43.83,Alor
2022,42.3,Alor
2023,41.91,Alor
2024,41.89,Alor
2018,74.14,Asahan
2019,70.53,Asahan
2020,66.32,Asahan
2021,69.29,Asahan
2022,64.49,Asahan
2023,61.69,Asahan
2024,61.34,Asahan
2018,26.02,Asmat
2019,25.8,Asmat
2020,25.12,Asmat
2021,25.04,Asmat
2022,25.6,Asmat
2023,25.58,Asmat
2024,26.24,Asmat
2018,12.97,Badung
2019,11.89,Badung
2020,13.75,Badung
2021,18.52,Badung
2022,18.28,Badung
2023,17.01,Badung
2024,16.87,Badung
2018,7.21,Balangan
2019,7.27,Balangan
2020,7.06,Balangan
2021,8.06,Balangan
2022,7.83,Balangan
2023,7.07,Balangan
2024,6.68,Balangan
2018,246.13,Bandung
2019,223.21,Bandung
2020,263.6,Bandung
2021,269.18,Bandung
2022,258.61,Bandung
2023,245.49,Bandung
2024,239.87,Bandung
2018,169.0,Bandung Barat
2019,159.03,Bandung Barat
2020,179.46,Bandung Barat
2021,190.77,Bandung Barat
2022,183.67,Bandung Barat
2023,179.43,Bandung Barat
2024,179.7,Bandung Barat
2018,33.73,Banggai
2019,29.3,Banggai
2020,28.16,Banggai
2021,30.1,Banggai
2022,28.55,Banggai
2023,27.38,Banggai
2024,26.21,Banggai
2018,18.38,Banggai Kepulauan
2019,17.54,Banggai Kepulauan
2020,16.7,Banggai Kepulauan
2021,16.33,Banggai Kepulauan
2022,16.07,Banggai Kepulauan
2023,15.5,Banggai Kepulauan
2024,14.86,Banggai Kepulauan
2018,11.97,Banggai Laut
2019,11.46,Banggai Laut
2020,11.09,Banggai Laut
2021,10.92,Banggai Laut
2022,10.32,Banggai Laut
2023,11.27,Banggai Laut
2024,11.16,Banggai Laut
2018,18.02,Bangka
2019,16.52,Bangka
2020,15.41,Bangka
2021,16.19,Bangka
2022,14.5,Bangka
2023,14.87,Bangka
2024,14.76,Bangka
2018,6.35,Bangka Barat
2019,5.65,Bangka Barat
2020,5.83,Bangka Barat
2021,5.85,Bangka Barat
2022,5.3,Bangka Barat
2023,5.91,Bangka Barat
2024,5.71,Bangka Barat
2018,7.58,Bangka Selatan
2019,7.02,Bangka Selatan
2020,7.49,Bangka Selatan
2021,7.72,Bangka Selatan
2022,6.81,Bangka Selatan
2023,6.66,Bangka Selatan
2024,8.1,Bangka Selatan
2018,11.12,Bangka Tengah
2019,9.8,Bangka Tengah
2020,9.64,Bangka Tengah
2021,10.03,Bangka Tengah
2022,9.61,Bangka Tengah
2023,10.58,Bangka Tengah
2024,12.04,Bangka Tengah
2018,191.33,Bangkalan
2019,186.11,Bangkalan
2020,204.0,Bangkalan
2021,215.97,Bangkalan
2022,196.11,Bangkalan
2023,196.66,Bangkalan
2024,190.94,Bangkalan
2018,11.05,Bangli
2019,10.08,Bangli
2020,9.56,Bangli
2021,11.68,Bangli
2022,12.17,Bangli
2023,12.24,Bangli
2024,11.79,Bangli
2018,15.62,Banjar
2019,15.91,Banjar
2020,15.12,Banjar
2021,18.07,Banjar
2022,16.71,Banjar
2023,14.77,Banjar
2024,14.46,Banjar
2018,141.72,Banjarnegara
2019,136.1,Banjarnegara
2020,144.95,Banjarnegara
2021,150.19,Banjarnegara
2022,141.25,Banjarnegara
2023,138.99,Banjarnegara
2024,137.68,Banjarnegara
2018,17.2,Bantaeng
2019,16.91,Bantaeng
2020,16.84,Bantaeng
2021,17.78,Bantaeng
2022,17.22,Bantaeng
2023,17.49,Bantaeng
2024,15.8,Bantaeng
2018,134.84,Bantul
2019,131.15,Bantul
2020,138.66,Bantul
2021,146.98,Bantul
2022,130.13,Bantul
2023,128.51,Bantul
2024,126.93,Bantul
2018,95.29,Banyu Asin
2019,96.55,Banyu Asin
2020,96.27,Banyu Asin
2021,94.08,Banyu Asin
2022,88.55,Banyu Asin
2023,85.88,Banyu Asin
2024,84.36,Banyu Asin
2018,226.23,Banyumas
2019,211.65,Banyumas
2020,225.84,Banyumas
2021,232.91,Banyumas
2022,220.47,Banyumas
2023,216.5,Banyumas
2024,207.78,Banyumas
2018,125.5,Banyuwangi
2019,121.37,Banyuwangi
2020,130.37,Banyuwangi
2021,130.93,Banyuwangi
2022,122.01,Banyuwangi
2023,119.52,Banyuwangi
2024,106.61,Banyuwangi
2018,14.09,Barito Kuala
2019,14.49,Barito Kuala
2020,14.25,Barito Kuala
2021,16.1,Barito Kuala
2022,15.06,Barito Kuala
2023,14.71,Barito Kuala
2024,14.04,Barito Kuala
2018,6.16,Barito Selatan
2019,5.99,Barito Selatan
2020,6.12,Barito Selatan
2021,6.42,Barito Selatan
2022,6.83,Barito Selatan
2023,6.66,Barito Selatan
2024,6.87,Barito Selatan
2018,8.05,Barito Timur
2019,7.97,Barito Timur
2020,7.88,Barito Timur
2021,8.02,Barito Timur
2022,8.42,Barito Timur
2023,8.59,Barito Timur
2024,8.74,Barito Timur
2018,6.5,Barito Utara
2019,6.46,Barito Utara
2020,6.78,Barito Utara
2021,7.4,Barito Utara
2022,7.7,Barito Utara
2023,7.14,Barito Utara
2024,7.6,Barito Utara
2018,15.68,Barru
2019,14.92,Barru
2020,14.44,Barru
2021,15.18,Barru
2022,14.73,Barru
2023,14.88,Barru
2024,14.64,Barru
2018,66.08,Batang
2019,64.07,Batang
2020,70.57,Batang
2021,74.91,Batang
2022,69.94,Batang
2023,69.97,Batang
2024,68.85,Batang
2018,27.55,Batang Hari
2019,26.53,Batang Hari
2020,26.54,Batang Hari
2021,27.24,Batang Hari
2022,26.24,Batang Hari
2023,25.88,Batang Hari
2024,23.74,Batang Hari
2018,51.78,Batu Bara
2019,50.46,Batu Bara
2020,49.78,Batu Bara
2021,52.59,Batu Bara
2022,49.39,Batu Bara
2023,49.18,Batu Bara
2024,47.66,Batu Bara
2018,157.21,Bekasi
2019,149.43,Bekasi
2020,186.3,Bekasi
2021,202.73,Bekasi
2022,201.14,Bekasi
2023,204.09,Bekasi
2024,204.54,Bekasi
2018,14.0,Belitung
2019,11.88,Belitung
2020,12.07,Belitung
2021,13.53,Belitung
2022,12.34,Belitung
2023,12.51,Belitung
2024,11.97,Belitung
2018,8.93,Belitung Timur
2019,8.51,Belitung Timur
2020,8.56,Belitung Timur
2021,9.29,Belitung Timur
2022,8.47,Belitung Timur
2023,8.89,Belitung Timur
2024,8.5,Belitung Timur
2018,33.91,Belu
2019,34.08,Belu
2020,34.18,Belu
2021,35.41,Belu
2022,33.98,Belu
2023,33.19,Belu
2024,32.57,Belu
2018,29.08,Bener Meriah
2019,28.45,Bener Meriah
2020,28.38,Bener Meriah
2021,28.69,Bener Meriah
2022,27.93,Bener Meriah
2023,28.19,Bener Meriah
2024,28.37,Bener Meriah
2018,35.11,Bengkalis
2019,35.83,Bengkalis
2020,36.96,Bengkalis
2021,37.66,Bengkalis
2022,36.03,Bengkalis
2023,36.1,Bengkalis
2024,36.56,Bengkalis
2018,17.94,Bengkayang
2019,17.69,Bengkayang
2020,17.11,Bengkayang
2021,16.92,Bengkayang
2022,15.97,Bengkayang
2023,16.87,Bengkayang
2024,16.35,Bengkayang
2018,29.19,Bengkulu Selatan
2019,29.3,Bengkulu Selatan
2020,28.41,Bengkulu Selatan
2021,31.65,Bengkulu Selatan
2022,31.83,Bengkulu Selatan
2023,31.89,Bengkulu Selatan
2024,31.8,Bengkulu Selatan
2018,9.24,Bengkulu Tengah
2019,10.06,Bengkulu Tengah
2020,10.79,Bengkulu Tengah
2021,11.12,Bengkulu Tengah
2022,11.33,Bengkulu Tengah
2023,11.01,Bengkulu Tengah
