Kabupaten/Kota,Tahun,Indeks Kedalaman Kemiskinan
Aceh Barat,2018,3.91
Aceh Barat,2019,3.53
Aceh Barat,2020,2.74
Aceh Barat,2021,3.82
Aceh Barat,2022,2.22
Aceh Barat,2023,2.47
Aceh Barat,2024,3.02
Aceh Barat Daya,2018,2.15
Aceh Barat Daya,2019,1.97
Aceh Barat Daya,2020,3.41
Aceh Barat Daya,2021,2.88
Aceh Barat Daya,2022,1.69
Aceh Barat Daya,2023,3.15
Aceh Barat Daya,2024,2.31
Aceh Besar,2018,3.4
Aceh Besar,2019,2.56
Aceh Besar,2020,2.4
Aceh Besar,2021,2.32
Aceh Besar,2022,2.09
Aceh Besar,2023,2.0
Aceh Besar,2024,1.88
Aceh Jaya,2018,2.4
Aceh Jaya,2019,2.49
Aceh Jaya,2020,2.19
Aceh Jaya,2021,2.06
Aceh Jaya,2022,1.61
Aceh Jaya,2023,2.22
Aceh Jaya,2024,1.39
Aceh Selatan,2018,1.78
Aceh Selatan,2019,1.58
Aceh Selatan,2020,2.13
Aceh Selatan,2021,1.69
Aceh Selatan,2022,1.31
Aceh Selatan,2023,1.85
Aceh Selatan,2024,1.57
Aceh Singkil,2018,4.85
Aceh Singkil,2019,3.83
Aceh Singkil,2020,3.55
Aceh Singkil,2021,3.67
Aceh Singkil,2022,3.18
Aceh Singkil,2023,2.99
Aceh Singkil,2024,3.06
Aceh Tamiang,2018,1.54
Aceh Tamiang,2019,1.65
Aceh Tamiang,2020,1.61
Aceh Tamiang,2021,1.67
Aceh Tamiang,2022,1.8
Aceh Tamiang,2023,1.94
Aceh Tamiang,2024,1.47
Aceh Tengah,2018,1.75
Aceh Tengah,2019,2.08
Aceh Tengah,2020,2.89
Aceh Tengah,2021,2.88
Aceh Tengah,2022,2.41
Aceh Tengah,2023,2.21
Aceh Tengah,2024,2.12
Aceh Tenggara,2018,2.23
Aceh Tenggara,2019,2.37
Aceh Tenggara,2020,1.62
Aceh Tenggara,2021,2.51
Aceh Tenggara,2022,1.92
Aceh Tenggara,2023,1.59
Aceh Tenggara,2024,1.64
Aceh Timur,2018,2.03
Aceh Timur,2019,1.89
Aceh Timur,2020,2.29
Aceh Timur,2021,2.31
Aceh Timur,2022,2.78
Aceh Timur,2023,2.43
Aceh Timur,2024,2.04
Aceh Utara,2018,3.2
Aceh Utara,2019,2.44
Aceh Utara,2020,2.6
Aceh Utara,2021,2.17
Aceh Utara,2022,2.48
Aceh Utara,2023,2.16
Aceh Utara,2024,2.78
Agam,2018,1.13
Agam,2019,0.82
Agam,2020,0.79
Agam,2021,0.98
Agam,2022,0.7
Agam,2023,0.75
Agam,2024,0.5
Alor,2018,3.71
Alor,2019,4.13
Alor,2020,2.92
Alor,2021,3.31
Alor,2022,3.42
Alor,2023,2.82
Alor,2024,2.25
Asahan,2018,1.51
Asahan,2019,1.24
Asahan,2020,1.37
Asahan,2021,1.9
Asahan,2022,1.22
Asahan,2023,0.77
Asahan,2024,1.15
Asmat,2018,4.01
Asmat,2019,4.9
Asmat,2020,3.54
Asmat,2021,4.08
Asmat,2022,3.57
Asmat,2023,3.75
Asmat,2024,4.17
Badung,2018,0.28
Badung,2019,0.16
Badung,2020,0.31
Badung,2021,0.43
Badung,2022,0.29
Badung,2023,0.11
Badung,2024,0.32
Balangan,2018,1.04
Balangan,2019,0.87
Balangan,2020,0.88
Balangan,2021,0.79
Balangan,2022,0.67
Balangan,2023,0.55
Balangan,2024,0.85
Bandung,2018,0.87
Bandung,2019,1.04
Bandung,2020,0.92
Bandung,2021,1.23
Bandung,2022,0.9
Bandung,2023,1.1
Bandung,2024,0.61
Bandung Barat,2018,1.45
Bandung Barat,2019,1.54
Bandung Barat,2020,1.4
Bandung Barat,2021,1.62
Bandung Barat,2022,1.7
Bandung Barat,2023,1.54
Bandung Barat,2024,1.17
Banggai,2018,1.7
Banggai,2019,1.15
Banggai,2020,1.05
Banggai,2021,1.09
Banggai,2022,1.2
Banggai,2023,0.8
Banggai,2024,0.86
Banggai Kepulauan,2018,2.65
Banggai Kepulauan,2019,1.98
Banggai Kepulauan,2020,1.99
Banggai Kepulauan,2021,1.89
Banggai Kepulauan,2022,1.79
Banggai Kepulauan,2023,2.23
Banggai Kepulauan,2024,1.26
Banggai Laut,2018,2.45
Banggai Laut,2019,2.49
Banggai Laut,2020,1.59
Banggai Laut,2021,2.93
Banggai Laut,2022,2.23
Banggai Laut,2023,1.82
Banggai Laut,2024,1.76
Bangka,2018,0.66
Bangka,2019,0.65
Bangka,2020,0.47
Bangka,2021,0.39
Bangka,2022,0.67
Bangka,2023,0.35
Bangka,2024,0.62
Bangka Barat,2018,0.34
Bangka Barat,2019,0.31
Bangka Barat,2020,0.23
Bangka Barat,2021,0.25
Bangka Barat,2022,0.27
Bangka Barat,2023,0.42
Bangka Barat,2024,0.52
Bangka Selatan,2018,0.49
Bangka Selatan,2019,0.48
Bangka Selatan,2020,0.53
Bangka Selatan,2021,0.35
Bangka Selatan,2022,0.25
Bangka Selatan,2023,0.26
Bangka Selatan,2024,0.27
Bangka Tengah,2018,0.42
Bangka Tengah,2019,0.52
Bangka Tengah,2020,0.72
Bangka Tengah,2021,0.63
Bangka Tengah,2022,0.62
Bangka Tengah,2023,0.64
Bangka Tengah,2024,0.66
Bangkalan,2018,3.57
Bangkalan,2019,4.0
Bangkalan,2020,4.25
Bangkalan,2021,3.51
Bangkalan,2022,3.02
Bangkalan,2023,3.25
Bangkalan,2024,2.03
Bangli,2018,0.49
Bangli,2019,0.24
Bangli,2020,0.3
Bangli,2021,0.56
Bangli,2022,0.72
Bangli,2023,0.75
Bangli,2024,0.89
Banjar,2018,0.39
Banjar,2019,0.26
Banjar,2020,0.26
Banjar,2021,0.36
Banjar,2022,0.33
Banjar,2023,0.38
Banjar,2024,0.33
Banjarnegara,2018,2.08
Banjarnegara,2019,2.38
Banjarnegara,2020,2.47
Banjarnegara,2021,2.97
Banjarnegara,2022,2.34
Banjarnegara,2023,2.34
Banjarnegara,2024,2.38
Bantaeng,2018,1.74
Bantaeng,2019,1.35
Bantaeng,2020,0.97
Bantaeng,2021,1.23
Bantaeng,2022,1.32
Bantaeng,2023,1.21
Bantaeng,2024,0.89
Bantul,2018,2.17
Bantul,2019,1.87
Bantul,2020,1.85
Bantul,2021,2.24
Bantul,2022,2.11
Bantul,2023,1.79
Bantul,2024,2.18
Banyu Asin,2018,2.21
Banyu Asin,2019,1.57
Banyu Asin,2020,1.14
Banyu Asin,2021,2.0
Banyu Asin,2022,1.86
Banyu Asin,2023,1.2
Banyu Asin,2024,1.66
Banyumas,2018,2.6
Banyumas,2019,2.52
Banyumas,2020,2.25
Banyumas,2021,2.36
Banyumas,2022,1.75
Banyumas,2023,1.78
Banyumas,2024,2.09
Banyuwangi,2018,1.4
Banyuwangi,2019,1.29
Banyuwangi,2020,1.3
Banyuwangi,2021,1.32
Banyuwangi,2022,1.18
Banyuwangi,2023,0.89
Banyuwangi,2024,0.44
Barito Kuala,2018,0.57
Barito Kuala,2019,0.44
Barito Kuala,2020,0.81
Barito Kuala,2021,0.57
Barito Kuala,2022,0.71
Barito Kuala,2023,1.14
Barito Kuala,2024,0.69
Barito Selatan,2018,0.63
Barito Selatan,2019,0.39
Barito Selatan,2020,0.89
Barito Selatan,2021,0.35
Barito Selatan,2022,0.58
Barito Selatan,2023,0.41
Barito Selatan,2024,0.21
Barito Timur,2018,1.01
Barito Timur,2019,0.72
Barito Timur,2020,0.55
Barito Timur,2021,0.82
Barito Timur,2022,1.06
Barito Timur,2023,0.75
Barito Timur,2024,0.93
Barito Utara,2018,0.59
Barito Utara,2019,0.76
Barito Utara,2020,0.67
Barito Utara,2021,0.59
Barito Utara,2022,1.05
Barito Utara,2023,0.57
Barito Utara,2024,0.89
Barru,2018,1.58
Barru,2019,1.07
Barru,2020,1.31
Barru,2021,1.52
Barru,2022,0.98
Barru,2023,1.48
Barru,2024,1.11
Batang,2018,1.08
Batang,2019,0.69
Batang,2020,1.43
Batang,2021,1.76
Batang,2022,1.26
Batang,2023,1.85
Batang,2024,1.25
Batang Hari,2018,1.24
Batang Hari,2019,1.29
Batang Hari,2020,1.28
Batang Hari,2021,1.27
Batang Hari,2022,1.44
Batang Hari,2023,1.19
Batang Hari,2024,1.34
Batu Bara,2018,2.22
Batu Bara,2019,1.63
Batu Bara,2020,1.61
Batu Bara,2021,1.99
Batu Bara,2022,1.34
Batu Bara,2023,1.51
Batu Bara,2024,1.5
Bekasi,2018,0.65
Bekasi,2019,0.6
Bekasi,2020,0.72
Bekasi,2021,0.91
Bekasi,2022,0.74
Bekasi,2023,0.82
Bekasi,2024,0.7
Belitung,2018,0.59
Belitung,2019,0.69
Belitung,2020,0.74
Belitung,2021,0.51
Belitung,2022,0.93
Belitung,2023,1.02
Belitung,2024,0.96
Belitung Timur,2018,1.01
Belitung Timur,2019,0.81
Belitung Timur,2020,0.7
Belitung Timur,2021,1.15
Belitung Timur,2022,0.9
Belitung Timur,2023,0.91
Belitung Timur,2024,0.64
Belu,2018,2.17
Belu,2019,2.66
Belu,2020,2.68
Belu,2021,3.13
Belu,2022,2.87
Belu,2023,2.07
Belu,2024,2.26
Bener Meriah,2018,2.88
Bener Meriah,2019,3.09
Bener Meriah,2020,3.52
Bener Meriah,2021,4.62
Bener Meriah,2022,3.54
Bener Meriah,2023,3.16
Bener Meriah,2024,3.07
Bengkalis,2018,0.87
Bengkalis,2019,0.5
Bengkalis,2020,0.72
Bengkalis,2021,0.73
Bengkalis,2022,0.81
Bengkalis,2023,1.03
Bengkalis,2024,0.72
Bengkayang,2018,0.69
Bengkayang,2019,1.22
Bengkayang,2020,1.06
Bengkayang,2021,0.8
Bengkayang,2022,0.73
Bengkayang,2023,0.98
Bengkayang,2024,0.64
Bengkulu Selatan,2018,2.61
Bengkulu Selatan,2019,3.32
Bengkulu Selatan,2020,3.29
Bengkulu Selatan,2021,3.28
Bengkulu Selatan,2022,2.97
Bengkulu Selatan,2023,2.72
Bengkulu Selatan,2024,2.91
Bengkulu Tengah,2018,1.41
Bengkulu Tengah,2019,1.29
Bengkulu Tengah,2020,1.25
Bengkulu Tengah,2021,1.19
Bengkulu Tengah,2022,1.69
Bengkulu Tengah,2023,1.39
Bengkulu Tengah,2024,1.18
Bengkulu Utara,2018,1.83
Bengkulu Utara,2019,1.61
Bengkulu Utara,2020,1.58
Bengkulu Utara,2021,2.67
Bengkulu Utara,2022,1.61
Bengkulu Utara,2023,1.33
Bengkulu Utara,2024,1.03
Berau,2018,0.57
Berau,2019,0.66
Berau,2020,0.7
Berau,2021,0.95
Berau,2022,0.98
Berau,2023,0.16
Berau,2024,0.41
Biak Numfor,2018,6.16
Biak Numfor,2019,5.15
Biak Numfor,2020,6.33
Biak Numfor,2021,6.01
Biak Numfor,2022,5.24
Biak Numfor,2023,5.6
Biak Numfor,2024,6.22
Bima,2018,1.73
Bima,2019,2.18
Bima,2020,2.41
Bima,2021,1.32
Bima,2022,2.4
Bima,2023,2.19
Bima,2024,1.89
Bintan,2018,1.24
Bintan,2019,0.63
Bintan,2020,0.81
Bintan,2021,0.65
Bintan,2022,0.91
Bintan,2023,0.68
Bintan,2024,0.61
Bireuen,2018,2.31
Bireuen,2019,1.77
Bireuen,2020,1.95
Bireuen,2021,2.07
Bireuen,2022,2.08
Bireuen,2023,1.9
Bireuen,2024,1.69
Blitar,2018,1.33
Blitar,2019,1.13
Blitar,2020,1.35
Blitar,2021,0.85
Blitar,2022,1.33
Blitar,2023,1.21
Blitar,2024,0.8
Blora,2018,1.62
Blora,2019,1.59
Blora,2020,1.39
Blora,2021,1.82
Blora,2022,1.8
Blora,2023,1.35
Blora,2024,1.59
Boalemo,2018,3.67
Boalemo,2019,2.92
Boalemo,2020,2.79
Boalemo,2021,2.77
Boalemo,2022,2.99
Boalemo,2023,3.41
Boalemo,2024,3.75
Bogor,2018,1.12
Bogor,2019,0.83
Bogor,2020,0.83
Bogor,2021,1.36
Bogor,2022,1.49
Bogor,2023,0.97
Bogor,2024,1.08
Bojonegoro,2018,1.87
Bojonegoro,2019,1.95
Bojonegoro,2020,1.72
Bojonegoro,2021,1.88
Bojonegoro,2022,1.9
Bojonegoro,2023,1.94
Bojonegoro,2024,1.99
Bolaang Mongondow,2018,1.07
Bolaang Mongondow,2019,1.26
Bolaang Mongondow,2020,0.87
Bolaang Mongondow,2021,1.14
Bolaang Mongondow,2022,1.24
Bolaang Mongondow,2023,0.55
Bolaang Mongondow,2024,0.79
Bolaang Mongondow Selatan,2018,1.55
Bolaang Mongondow Selatan,2019,1.13
Bolaang Mongondow Selatan,2020,1.65
Bolaang Mongondow Selatan,2021,1.47
Bolaang Mongondow Selatan,2022,1.83
Bolaang Mongondow Selatan,2023,1.47
Bolaang Mongondow Selatan,2024,1.34
Bolaang Mongondow Timur,2018,0.85
Bolaang Mongondow Timur,2019,0.7
Bolaang Mongondow Timur,2020,0.94
Bolaang Mongondow Timur,2021,0.66
Bolaang Mongondow Timur,2022,0.65
Bolaang Mongondow Timur,2023,0.66
Bolaang Mongondow Timur,2024,0.54
Bolaang Mongondow Utara,2018,1.15
Bolaang Mongondow Utara,2019,1.32
Bolaang Mongondow Utara,2020,0.83
Bolaang Mongondow Utara,2021,1.18
Bolaang Mongondow Utara,2022,0.9
Bolaang Mongondow Utara,2023,0.81
Bolaang Mongondow Utara,2024,0.99
Bombana,2018,2.46
Bombana,2019,1.01
Bombana,2020,1.35
Bombana,2021,1.94
Bombana,2022,1.32
Bombana,2023,2.05
Bombana,2024,1.15
Bondowoso,2018,2.12
Bondowoso,2019,1.67
Bondowoso,2020,2.16
Bondowoso,2021,2.19
Bondowoso,2022,1.62
Bondowoso,2023,2.06
Bondowoso,2024,1.51
Bone,2018,1.44
Bone,2019,1.35
Bone,2020,1.59
Bone,2021,1.67
Bone,2022,1.35
Bone,2023,1.23
Bone,2024,1.14
Bone Bolango,2018,4.54
Bone Bolango,2019,4.15
Bone Bolango,2020,2.99
Bone Bolango,2021,3.23
Bone Bolango,2022,2.52
Bone Bolango,2023,2.35
Bone Bolango,2024,2.86
