Kabupaten/Kota,Tahun,Pengeluaran Perkapita Bahan Makanan Lainnya
Aceh Barat,2018,1596.38
Aceh Barat,2019,1617.34
Aceh Barat,2020,1906.06
Aceh Barat,2021,2064.32
Aceh Barat,2022,2011.67
Aceh Barat,2023,1817.89
Aceh Barat,2024,1868.0
Aceh Barat Daya,2018,1140.96
Aceh Barat Daya,2019,1169.56
Aceh Barat Daya,2020,1335.73
Aceh Barat Daya,2021,1296.61
Aceh Barat Daya,2022,1595.37
Aceh Barat Daya,2023,1842.8
Aceh Barat Daya,2024,2177.0
Aceh Besar,2018,1704.44
Aceh Besar,2019,1662.43
Aceh Besar,2020,1833.81
Aceh Besar,2021,2306.36
Aceh Besar,2022,2165.83
Aceh Besar,2023,2069.85
Aceh Besar,2024,2427.0
Aceh Jaya,2018,1823.65
Aceh Jaya,2019,1782.74
Aceh Jaya,2020,1793.69
Aceh Jaya,2021,1974.46
Aceh Jaya,2022,2255.84
Aceh Jaya,2023,2104.99
Aceh Jaya,2024,2493.0
Aceh Selatan,2018,1497.36
Aceh Selatan,2019,1434.41
Aceh Selatan,2020,1698.31
Aceh Selatan,2021,1705.46
Aceh Selatan,2022,1567.87
Aceh Selatan,2023,1559.87
Aceh Selatan,2024,1922.0
Aceh Singkil,2018,1583.83
Aceh Singkil,2019,1163.26
Aceh Singkil,2020,1610.21
Aceh Singkil,2021,1778.9
Aceh Singkil,2022,1993.21
Aceh Singkil,2023,2268.93
Aceh Singkil,2024,1829.0
Aceh Tamiang,2018,1357.55
Aceh Tamiang,2019,1340.94
Aceh Tamiang,2020,1266.54
Aceh Tamiang,2021,1431.16
Aceh Tamiang,2022,1660.55
Aceh Tamiang,2023,1710.36
Aceh Tamiang,2024,1715.0
Aceh Tengah,2018,1542.01
Aceh Tengah,2019,1858.75
Aceh Tengah,2020,1921.75
Aceh Tengah,2021,2187.55
Aceh Tengah,2022,2602.24
Aceh Tengah,2023,1938.85
Aceh Tengah,2024,2693.0
Aceh Tenggara,2018,1468.57
Aceh Tenggara,2019,1507.44
Aceh Tenggara,2020,1389.55
Aceh Tenggara,2021,1649.02
Aceh Tenggara,2022,1702.96
Aceh Tenggara,2023,1794.26
Aceh Tenggara,2024,1865.0
Aceh Timur,2018,1095.42
