Kabupaten/Kota,Tahun,Pengeluaran Perkapita Bahan Minuman
Aceh Barat,2018,4203.72
Aceh Barat,2019,3978.93
Aceh Barat,2020,3908.43
Aceh Barat,2021,3931.38
Aceh Barat,2022,4036.28
Aceh Barat,2023,3618.39
Aceh Barat,2024,3854.0
Aceh Barat Daya,2018,3188.97
Aceh Barat Daya,2019,3242.45
Aceh Barat Daya,2020,3961.45
Aceh Barat Daya,2021,3624.38
Aceh Barat Daya,2022,3523.51
Aceh Barat Daya,2023,3998.51
Aceh Barat Daya,2024,4449.0
Aceh Besar,2018,3140.79
Aceh Besar,2019,3149.98
Aceh Besar,2020,3355.48
Aceh Besar,2021,3714.83
Aceh Besar,2022,3575.18
Aceh Besar,2023,3282.2
Aceh Besar,2024,3480.0
Aceh Jaya,2018,3935.58
Aceh Jaya,2019,3895.91
Aceh Jaya,2020,4400.38
Aceh Jaya,2021,4553.21
Aceh Jaya,2022,4054.46
Aceh Jaya,2023,4591.41
Aceh Jaya,2024,4875.0
Aceh Selatan,2018,3683.62
Aceh Selatan,2019,3652.93
Aceh Selatan,2020,4290.43
Aceh Selatan,2021,4544.18
Aceh Selatan,2022,4537.47
Aceh Selatan,2023,4059.68
Aceh Selatan,2024,5024.0
Aceh Singkil,2018,4002.09
Aceh Singkil,2019,3474.23
Aceh Singkil,2020,3976.31
Aceh Singkil,2021,4179.61
Aceh Singkil,2022,4035.05
Aceh Singkil,2023,4562.82
Aceh Singkil,2024,4839.0
Aceh Tamiang,2018,3589.57
Aceh Tamiang,2019,3523.33
Aceh Tamiang,2020,3830.99
Aceh Tamiang,2021,4489.19
Aceh Tamiang,2022,3929.7
Aceh Tamiang,2023,3971.56
Aceh Tamiang,2024,4685.0
Aceh Tengah,2018,5624.32
Aceh Tengah,2019,4879.51
Aceh Tengah,2020,5394.31
Aceh Tengah,2021,6052.8
Aceh Tengah,2022,6254.61
Aceh Tengah,2023,5779.12
Aceh Tengah,2024,6710.0
Aceh Tenggara,2018,2896.79
Aceh Tenggara,2019,2850.38
Aceh Tenggara,2020,3035.8
Aceh Tenggara,2021,3105.74
Aceh Tenggara,2022,2827.47
Aceh Tenggara,2023,3212.52
Aceh Tenggara,2024,2833.0
Aceh Timur,2018,4077.95
Aceh Timur,2019,3788.18
Aceh Timur,2020,4371.95
Aceh Timur,2021,4239.0
Aceh Timur,2022,4300.53
Aceh Timur,2023,3771.4
Aceh Timur,2024,3617.0
Aceh Utara,2018,2968.16
Aceh Utara,2019,3115.6
Aceh Utara,2020,3383.29
Aceh Utara,2021,3353.9
Aceh Utara,2022,4101.83
Aceh Utara,2023,3701.74
Aceh Utara,2024,3188.0
Agam,2018,3863.35
Agam,2019,3806.43
Agam,2020,3839.7
Agam,2021,4096.96
Agam,2022,4385.77
Agam,2023,4089.26
Agam,2024,4220.0
Alor,2018,4889.99
Alor,2019,4832.87
Alor,2020,5132.01
Alor,2021,4814.59
Alor,2022,4869.01
Alor,2023,5535.63
Alor,2024,4811.0
