Kabupaten/Kota,Tahun,Pengeluaran Perkapita Buah-Buahan
Aceh Barat,2018,5558.0
Aceh Barat,2019,7009.0
Aceh Barat,2020,8432.0
Aceh Barat,2021,9377.0
Aceh Barat,2022,11058.28
Aceh Barat,2023,9451.44
Aceh Barat,2024,11160.0
Aceh Barat Daya,2018,3218.0
Aceh Barat Daya,2019,4820.0
Aceh Barat Daya,2020,4767.0
Aceh Barat Daya,2021,4168.0
Aceh Barat Daya,2022,5113.17
Aceh Barat Daya,2023,5656.33
Aceh Barat Daya,2024,7231.0
Aceh Besar,2018,6065.0
Aceh Besar,2019,4916.0
Aceh Besar,2020,5716.0
Aceh Besar,2021,5527.0
Aceh Besar,2022,6509.6
Aceh Besar,2023,5480.57
Aceh Besar,2024,6689.0
Aceh Jaya,2018,5028.0
Aceh Jaya,2019,5021.0
Aceh Jaya,2020,4872.0
Aceh Jaya,2021,8049.0
Aceh Jaya,2022,8661.58
Aceh Jaya,2023,7321.97
Aceh Jaya,2024,8789.0
Aceh Selatan,2018,4089.0
Aceh Selatan,2019,4852.0
Aceh Selatan,2020,5088.0
Aceh Selatan,2021,4481.0
Aceh Selatan,2022,5103.7
Aceh Selatan,2023,4589.2
Aceh Selatan,2024,5682.0
Aceh Singkil,2018,5269.0
Aceh Singkil,2019,4574.0
Aceh Singkil,2020,5172.0
Aceh Singkil,2021,5344.0
Aceh Singkil,2022,7859.03
Aceh Singkil,2023,7377.18
Aceh Singkil,2024,6363.0
Aceh Tamiang,2018,4368.0
Aceh Tamiang,2019,4297.0
Aceh Tamiang,2020,4139.0
Aceh Tamiang,2021,4585.0
Aceh Tamiang,2022,5413.5
Aceh Tamiang,2023,5965.12
Aceh Tamiang,2024,7426.0
Aceh Tengah,2018,7831.0
Aceh Tengah,2019,9698.0
Aceh Tengah,2020,10621.0
Aceh Tengah,2021,8549.0
Aceh Tengah,2022,10214.38
Aceh Tengah,2023,10500.46
Aceh Tengah,2024,14192.0
Aceh Tenggara,2018,3790.0
Aceh Tenggara,2019,3903.0
Aceh Tenggara,2020,4255.0
Aceh Tenggara,2021,3960.0
Aceh Tenggara,2022,4289.9
Aceh Tenggara,2023,5381.6
Aceh Tenggara,2024,6046.0
Aceh Timur,2018,3905.0
Aceh Timur,2019,4019.0
Aceh Timur,2020,5131.0
Aceh Timur,2021,3598.0
Aceh Timur,2022,6676.82
Aceh Timur,2023,5630.94
Aceh Timur,2024,5812.0
Aceh Utara,2018,3673.0
Aceh Utara,2019,3641.0
Aceh Utara,2020,3480.0
