Kabupaten/Kota,Tahun,Pengeluaran Perkapita Daging
Aceh Barat,2018,2815.84
Aceh Barat,2019,3115.17
Aceh Barat,2020,4125.04
Aceh Barat,2021,5878.02
Aceh Barat,2022,5881.19
Aceh Barat,2023,4699.67
Aceh Barat,2024,5427.0
Aceh Barat Daya,2018,1567.76
Aceh Barat Daya,2019,1547.9
Aceh Barat Daya,2020,1904.74
Aceh Barat Daya,2021,2755.72
Aceh Barat Daya,2022,2127.6
Aceh Barat Daya,2023,1989.4
Aceh Barat Daya,2024,3518.0
Aceh Besar,2018,3661.98
Aceh Besar,2019,3939.52
Aceh Besar,2020,4291.8
Aceh Besar,2021,4683.05
Aceh Besar,2022,4348.1
Aceh Besar,2023,4318.32
Aceh Besar,2024,5118.0
Aceh Jaya,2018,3060.15
Aceh Jaya,2019,3637.93
Aceh Jaya,2020,2903.65
Aceh Jaya,2021,4335.44
Aceh Jaya,2022,6255.52
Aceh Jaya,2023,4711.5
Aceh Jaya,2024,4743.0
Aceh Selatan,2018,875.94
Aceh Selatan,2019,1440.04
Aceh Selatan,2020,2735.19
Aceh Selatan,2021,1851.06
Aceh Selatan,2022,2349.96
Aceh Selatan,2023,2602.29
Aceh Selatan,2024,2896.0
Aceh Singkil,2018,3161.96
Aceh Singkil,2019,1816.19
Aceh Singkil,2020,3398.81
Aceh Singkil,2021,4030.94
Aceh Singkil,2022,5926.13
Aceh Singkil,2023,5324.23
Aceh Singkil,2024,4672.0
Aceh Tamiang,2018,2604.11
Aceh Tamiang,2019,2588.47
Aceh Tamiang,2020,2265.12
Aceh Tamiang,2021,2668.53
Aceh Tamiang,2022,3702.36
Aceh Tamiang,2023,4144.48
Aceh Tamiang,2024,4057.0
Aceh Tengah,2018,2958.26
Aceh Tengah,2019,2825.55
Aceh Tengah,2020,4924.44
Aceh Tengah,2021,5256.84
Aceh Tengah,2022,4043.4
Aceh Tengah,2023,4162.57
Aceh Tengah,2024,4511.0
Aceh Tenggara,2018,4220.86
Aceh Tenggara,2019,4829.47
Aceh Tenggara,2020,4944.16
Aceh Tenggara,2021,5433.72
Aceh Tenggara,2022,5363.19
Aceh Tenggara,2023,5480.93
Aceh Tenggara,2024,6801.0
Aceh Timur,2018,2451.62
Aceh Timur,2019,2313.81
Aceh Timur,2020,2188.94
Aceh Timur,2021,2226.39
Aceh Timur,2022,5580.89
Aceh Timur,2023,4263.38
Aceh Timur,2024,4447.0
Aceh Utara,2018,1655.03
Aceh Utara,2019,1963.19
Aceh Utara,2020,2015.71
Aceh Utara,2021,2576.19
Aceh Utara,2022,3485.44
Aceh Utara,2023,5215.39
Aceh Utara,2024,3814.0
Agam,2018,5077.97
Agam,2019,6067.44
Agam,2020,6405.31
Agam,2021,6276.1
Agam,2022,7739.69
Agam,2023,8066.92
Agam,2024,6791.0
Alor,2018,1478.35
Alor,2019,2138.16
Alor,2020,1495.74
Alor,2021,2715.44
Alor,2022,3338.79
Alor,2023,3735.24
Alor,2024,3541.0
Asahan,2018,3640.87
Asahan,2019,4146.88
Asahan,2020,4246.59
Asahan,2021,3925.52
Asahan,2022,4642.95
Asahan,2023,5876.51
Asahan,2024,5574.0
Asmat,2018,2589.56
Asmat,2019,3729.27
Asmat,2020,6904.8
Asmat,2021,8191.29
Asmat,2022,8453.51
Asmat,2023,6789.32
Asmat,2024,8916.0
Badung,2018,9595.24
Badung,2019,10626.45
Badung,2020,11620.35
Badung,2021,10308.04
Badung,2022,11864.34
Badung,2023,13065.77
Badung,2024,16994.0
Balangan,2018,3762.52
Balangan,2019,4016.54
Balangan,2020,4814.19
Balangan,2021,4863.37
Balangan,2022,5956.78
Balangan,2023,5208.22
Balangan,2024,6954.0
Bandung,2018,7266.27
Bandung,2019,8310.42
Bandung,2020,7206.37
Bandung,2021,7442.88
Bandung,2022,7703.51
Bandung,2023,9233.58
Bandung,2024,8204.0
Bandung Barat,2018,5672.38
Bandung Barat,2019,7133.47
Bandung Barat,2020,7171.0
Bandung Barat,2021,7114.39
Bandung Barat,2022,9085.67
Bandung Barat,2023,7718.29
Bandung Barat,2024,7946.0
Banggai,2018,2679.77
Banggai,2019,1687.01
Banggai,2020,3080.04
Banggai,2021,2373.3
Banggai,2022,3305.4
Banggai,2023,2537.34
Banggai,2024,4994.0
Banggai Kepulauan,2018,1636.5
Banggai Kepulauan,2019,1660.8
Banggai Kepulauan,2020,2186.94
Banggai Kepulauan,2021,2552.32
Banggai Kepulauan,2022,1286.59
Banggai Kepulauan,2023,1598.45
Banggai Kepulauan,2024,2365.0
Banggai Laut,2018,2125.35
Banggai Laut,2019,1318.83
Banggai Laut,2020,741.62
Banggai Laut,2021,1463.19
Banggai Laut,2022,1888.67
Banggai Laut,2023,1847.03
Banggai Laut,2024,2171.0
Bangka,2018,8457.33
Bangka,2019,7809.09
Bangka,2020,9432.69
Bangka,2021,9903.78
Bangka,2022,14140.18
Bangka,2023,12684.9
Bangka,2024,13026.0
Bangka Barat,2018,6362.89
Bangka Barat,2019,5342.5
Bangka Barat,2020,6205.38
Bangka Barat,2021,6200.19
Bangka Barat,2022,11670.98
Bangka Barat,2023,10576.55
Bangka Barat,2024,8522.0
Bangka Selatan,2018,6827.14
Bangka Selatan,2019,6957.21
Bangka Selatan,2020,7789.55
Bangka Selatan,2021,7713.54
Bangka Selatan,2022,14600.25
Bangka Selatan,2023,9671.71
Bangka Selatan,2024,11268.0
Bangka Tengah,2018,7262.99
Bangka Tengah,2019,9049.94
Bangka Tengah,2020,7711.44
Bangka Tengah,2021,8820.25
Bangka Tengah,2022,15025.28
Bangka Tengah,2023,12926.13
Bangka Tengah,2024,13476.0
Bangkalan,2018,4672.36
Bangkalan,2019,5229.22
Bangkalan,2020,4908.27
Bangkalan,2021,4170.4
Bangkalan,2022,5515.82
Bangkalan,2023,5857.36
Bangkalan,2024,4923.0
Bangli,2018,8156.11
Bangli,2019,9039.32
Bangli,2020,16694.82
Bangli,2021,11316.22
Bangli,2022,9805.51
Bangli,2023,9260.7
Bangli,2024,23053.0
Banjar,2018,4082.73
Banjar,2019,5247.25
Banjar,2020,4687.58
Banjar,2021,4778.21
Banjar,2022,7164.14
Banjar,2023,5873.64
Banjar,2024,6468.0
Banjarnegara,2018,4032.32
Banjarnegara,2019,4280.0
Banjarnegara,2020,4882.46
Banjarnegara,2021,5429.82
Banjarnegara,2022,5457.15
Banjarnegara,2023,7560.27
Banjarnegara,2024,6066.0
Bantaeng,2018,1659.3
Bantaeng,2019,1890.81
Bantaeng,2020,3118.52
Bantaeng,2021,2464.89
Bantaeng,2022,2796.07
Bantaeng,2023,3107.34
Bantaeng,2024,4169.0
Bantul,2018,4970.32
Bantul,2019,5517.56
Bantul,2020,6486.8
Bantul,2021,7459.02
Bantul,2022,7906.32
Bantul,2023,9177.43
Bantul,2024,8440.0
Banyu Asin,2018,3595.46
Banyu Asin,2019,4630.22
Banyu Asin,2020,4677.42
Banyu Asin,2021,6753.88
Banyu Asin,2022,7532.58
Banyu Asin,2023,7403.28
Banyu Asin,2024,7484.0
Banyumas,2018,4590.47
Banyumas,2019,4457.0
Banyumas,2020,4556.51
Banyumas,2021,6962.02
Banyumas,2022,7076.15
Banyumas,2023,7799.15
Banyumas,2024,8099.0
Banyuwangi,2018,3369.18
Banyuwangi,2019,3097.32
Banyuwangi,2020,3655.17
Banyuwangi,2021,4623.5
Banyuwangi,2022,4731.48
Banyuwangi,2023,6065.35
Banyuwangi,2024,7514.0
Barito Kuala,2018,2955.64
Barito Kuala,2019,3492.09
Barito Kuala,2020,3597.65
Barito Kuala,2021,4417.71
Barito Kuala,2022,4871.73
Barito Kuala,2023,4581.8
Barito Kuala,2024,4892.0
Barito Selatan,2018,5225.62
Barito Selatan,2019,5748.74
Barito Selatan,2020,7289.44
Barito Selatan,2021,7676.13
Barito Selatan,2022,10261.01
Barito Selatan,2023,8069.61
Barito Selatan,2024,9612.0
Barito Timur,2018,6305.49
Barito Timur,2019,6858.86
Barito Timur,2020,8503.77
Barito Timur,2021,8814.6
Barito Timur,2022,10795.7
Barito Timur,2023,8563.23
Barito Timur,2024,10976.0
Barito Utara,2018,7928.82
Barito Utara,2019,7848.09
Barito Utara,2020,10458.54
Barito Utara,2021,9335.84
Barito Utara,2022,11014.66
Barito Utara,2023,10922.57
Barito Utara,2024,11504.0
Barru,2018,1015.17
Barru,2019,1415.91
Barru,2020,2113.17
Barru,2021,2627.84
Barru,2022,3793.37
Barru,2023,3563.47
Barru,2024,3042.0
Batang,2018,3576.45
Batang,2019,3793.56
Batang,2020,4919.94
Batang,2021,5248.31
Batang,2022,5258.83
Batang,2023,5288.63
Batang,2024,5321.0
Batang Hari,2018,4872.87
Batang Hari,2019,5463.89
Batang Hari,2020,6034.52
Batang Hari,2021,6388.19
Batang Hari,2022,7526.87
Batang Hari,2023,8055.32
Batang Hari,2024,8196.0
Batu Bara,2018,2595.48
Batu Bara,2019,2998.89
Batu Bara,2020,2581.84
Batu Bara,2021,2839.87
Batu Bara,2022,4269.11
Batu Bara,2023,4444.91
Batu Bara,2024,3809.0
Bekasi,2018,6149.22
Bekasi,2019,8157.26
Bekasi,2020,6807.72
Bekasi,2021,6970.79
Bekasi,2022,10304.05
