Kabupaten/Kota,Tahun,Pengeluaran Perkapita Kacang-Kacangan
Aceh Barat,2018,1574.21
Aceh Barat,2019,1554.97
Aceh Barat,2020,2049.18
Aceh Barat,2021,2187.72
Aceh Barat,2022,2194.79
Aceh Barat,2023,1990.61
Aceh Barat,2024,2031.0
Aceh Barat Daya,2018,900.31
Aceh Barat Daya,2019,913.74
Aceh Barat Daya,2020,1208.49
Aceh Barat Daya,2021,1094.49
Aceh Barat Daya,2022,950.95
Aceh Barat Daya,2023,1277.29
Aceh Barat Daya,2024,1511.0
Aceh Besar,2018,1632.46
Aceh Besar,2019,1504.9
Aceh Besar,2020,1818.54
Aceh Besar,2021,1776.45
Aceh Besar,2022,1774.67
Aceh Besar,2023,1653.53
Aceh Besar,2024,1791.0
Aceh Jaya,2018,1072.0
Aceh Jaya,2019,1328.24
Aceh Jaya,2020,1236.64
Aceh Jaya,2021,1694.25
Aceh Jaya,2022,1655.78
Aceh Jaya,2023,1668.21
Aceh Jaya,2024,1739.0
Aceh Selatan,2018,919.46
Aceh Selatan,2019,988.83
Aceh Selatan,2020,1285.78
Aceh Selatan,2021,1324.44
Aceh Selatan,2022,1016.84
Aceh Selatan,2023,886.61
Aceh Selatan,2024,1452.0
Aceh Singkil,2018,1634.99
Aceh Singkil,2019,1610.57
Aceh Singkil,2020,1759.09
Aceh Singkil,2021,2033.93
Aceh Singkil,2022,2189.15
Aceh Singkil,2023,2433.11
Aceh Singkil,2024,2394.0
Aceh Tamiang,2018,1885.44
Aceh Tamiang,2019,1696.94
Aceh Tamiang,2020,1937.36
Aceh Tamiang,2021,1955.06
Aceh Tamiang,2022,1990.74
Aceh Tamiang,2023,2519.55
Aceh Tamiang,2024,2529.0
Aceh Tengah,2018,2524.41
Aceh Tengah,2019,2401.82
Aceh Tengah,2020,2931.42
Aceh Tengah,2021,2953.51
Aceh Tengah,2022,2982.12
Aceh Tengah,2023,2857.38
Aceh Tengah,2024,3029.0
Aceh Tenggara,2018,1646.53
Aceh Tenggara,2019,1656.69
Aceh Tenggara,2020,1475.51
Aceh Tenggara,2021,1812.45
Aceh Tenggara,2022,1864.99
Aceh Tenggara,2023,1723.46
Aceh Tenggara,2024,1942.0
Aceh Timur,2018,1218.32
Aceh Timur,2019,1055.31
Aceh Timur,2020,1461.96
Aceh Timur,2021,1329.52
Aceh Timur,2022,1482.39
Aceh Timur,2023,1354.07
Aceh Timur,2024,1468.0
Aceh Utara,2018,1088.0
Aceh Utara,2019,950.64
Aceh Utara,2020,1192.99
Aceh Utara,2021,1228.4
Aceh Utara,2022,1556.62
Aceh Utara,2023,1578.73
Aceh Utara,2024,1173.0
Agam,2018,1745.88
Agam,2019,1737.46
Agam,2020,1660.91
Agam,2021,1935.55
Agam,2022,2071.33
Agam,2023,2188.11
Agam,2024,2177.0
Alor,2018,1388.91
Alor,2019,1074.96
Alor,2020,1053.95
Alor,2021,1370.83
Alor,2022,1822.82
Alor,2023,1393.38
Alor,2024,1368.0
Asahan,2018,1844.65
Asahan,2019,1848.94
Asahan,2020,1774.82
Asahan,2021,2156.54
Asahan,2022,2273.54
Asahan,2023,2183.06
Asahan,2024,2527.0
Asmat,2018,192.65
Asmat,2019,473.12
Asmat,2020,246.46
Asmat,2021,466.57
Asmat,2022,550.4
Asmat,2023,439.92
Asmat,2024,1557.0
Badung,2018,3035.76
Badung,2019,3150.22
Badung,2020,3591.7
Badung,2021,4139.51
Badung,2022,3522.18
Badung,2023,4091.8
Badung,2024,3890.0
Balangan,2018,1788.45
Balangan,2019,1928.07
Balangan,2020,1866.51
Balangan,2021,2356.45
Balangan,2022,2394.76
Balangan,2023,2101.14
Balangan,2024,2440.0
Bandung,2018,2702.69
Bandung,2019,2933.29
Bandung,2020,2801.87
Bandung,2021,3321.44
Bandung,2022,3071.3
Bandung,2023,3656.4
Bandung,2024,3858.0
Bandung Barat,2018,2819.06
Bandung Barat,2019,2783.33
Bandung Barat,2020,2470.11
Bandung Barat,2021,2539.8
Bandung Barat,2022,3440.39
Bandung Barat,2023,3556.47
Bandung Barat,2024,3447.0
Banggai,2018,2179.75
Banggai,2019,1935.32
Banggai,2020,1569.19
Banggai,2021,2111.02
Banggai,2022,2586.97
Banggai,2023,2473.31
Banggai,2024,2853.0
Banggai Kepulauan,2018,517.26
Banggai Kepulauan,2019,723.26
Banggai Kepulauan,2020,697.78
Banggai Kepulauan,2021,782.16
Banggai Kepulauan,2022,845.49
Banggai Kepulauan,2023,684.16
Banggai Kepulauan,2024,934.0
Banggai Laut,2018,766.1
Banggai Laut,2019,593.02
Banggai Laut,2020,355.12
Banggai Laut,2021,696.0
Banggai Laut,2022,1052.24
Banggai Laut,2023,903.41
Banggai Laut,2024,766.0
Bangka,2018,2184.96
Bangka,2019,2128.51
Bangka,2020,2281.75
Bangka,2021,2563.94
Bangka,2022,2357.88
Bangka,2023,3048.64
Bangka,2024,2737.0
Bangka Barat,2018,1748.11
Bangka Barat,2019,2078.08
Bangka Barat,2020,2263.3
Bangka Barat,2021,2432.04
Bangka Barat,2022,1917.81
Bangka Barat,2023,2460.78
Bangka Barat,2024,2207.0
Bangka Selatan,2018,1637.34
Bangka Selatan,2019,1632.66
