Kabupaten/Kota,Tahun,Pengeluaran Perkapita Bahan Minyak dan Kelapa
Aceh Barat,2018,3603.83
Aceh Barat,2019,4105.63
Aceh Barat,2020,4292.58
Aceh Barat,2021,4772.75
Aceh Barat,2022,5623.14
Aceh Barat,2023,5324.58
Aceh Barat,2024,5011.0
Aceh Barat Daya,2018,3657.14
Aceh Barat Daya,2019,3414.08
Aceh Barat Daya,2020,3745.97
Aceh Barat Daya,2021,3914.75
Aceh Barat Daya,2022,4316.53
Aceh Barat Daya,2023,4819.05
Aceh Barat Daya,2024,4942.0
Aceh Besar,2018,2928.22
Aceh Besar,2019,3186.53
Aceh Besar,2020,3338.5
Aceh Besar,2021,3720.78
Aceh Besar,2022,3684.23
Aceh Besar,2023,3612.19
Aceh Besar,2024,4407.0
Aceh Jaya,2018,4184.32
Aceh Jaya,2019,3820.0
Aceh Jaya,2020,4121.23
Aceh Jaya,2021,4119.72
Aceh Jaya,2022,4491.41
Aceh Jaya,2023,4606.67
Aceh Jaya,2024,4775.0
Aceh Selatan,2018,4098.55
Aceh Selatan,2019,4070.11
Aceh Selatan,2020,4441.17
Aceh Selatan,2021,4627.96
Aceh Selatan,2022,5987.98
Aceh Selatan,2023,4512.95
Aceh Selatan,2024,5400.0
Aceh Singkil,2018,4376.22
Aceh Singkil,2019,4172.96
Aceh Singkil,2020,4360.32
Aceh Singkil,2021,4687.54
Aceh Singkil,2022,5993.47
Aceh Singkil,2023,6387.26
Aceh Singkil,2024,5937.0
Aceh Tamiang,2018,3665.86
Aceh Tamiang,2019,3202.95
Aceh Tamiang,2020,3492.21
Aceh Tamiang,2021,3746.21
Aceh Tamiang,2022,4851.92
Aceh Tamiang,2023,4346.45
Aceh Tamiang,2024,4959.0
Aceh Tengah,2018,3668.49
Aceh Tengah,2019,3300.54
Aceh Tengah,2020,3748.67
Aceh Tengah,2021,3932.36
Aceh Tengah,2022,4929.98
Aceh Tengah,2023,4225.74
Aceh Tengah,2024,4834.0
Aceh Tenggara,2018,4469.6
Aceh Tenggara,2019,4175.9
Aceh Tenggara,2020,4365.51
Aceh Tenggara,2021,5178.1
Aceh Tenggara,2022,5576.68
Aceh Tenggara,2023,4856.17
Aceh Tenggara,2024,5713.0
Aceh Timur,2018,3429.42
Aceh Timur,2019,3417.63
Aceh Timur,2020,3803.63
Aceh Timur,2021,4087.42
Aceh Timur,2022,4938.54
Aceh Timur,2023,3847.67
Aceh Timur,2024,3970.0
Aceh Utara,2018,2621.29
Aceh Utara,2019,2616.93
Aceh Utara,2020,2701.51
Aceh Utara,2021,2728.57
Aceh Utara,2022,4041.7
Aceh Utara,2023,3885.02
Aceh Utara,2024,3738.0
Agam,2018,4275.26
Agam,2019,4634.44
Agam,2020,4656.18
Agam,2021,5472.18
Agam,2022,7742.62
Agam,2023,6230.73
Agam,2024,5899.0
Alor,2018,2297.09
Alor,2019,2491.1
Alor,2020,2288.51
Alor,2021,2773.67
Alor,2022,3423.76
Alor,2023,3686.92
Alor,2024,2401.0
Asahan,2018,4243.43
Asahan,2019,3768.29
Asahan,2020,4520.93
Asahan,2021,4787.11
Asahan,2022,6062.22
Asahan,2023,5445.47
Asahan,2024,5682.0
Asmat,2018,2827.77
Asmat,2019,2493.75
Asmat,2020,3028.75
Asmat,2021,4079.88
Asmat,2022,4154.83
