Kabupaten/Kota,Tahun,Pengeluaran Perkapita Padi-Padian
Aceh Barat,2018,17478.5
Aceh Barat,2019,17903.88
Aceh Barat,2020,17316.41
Aceh Barat,2021,20506.28
Aceh Barat,2022,16938.04
Aceh Barat,2023,18745.79
Aceh Barat,2024,22010.0
Aceh Barat Daya,2018,20602.7
Aceh Barat Daya,2019,18807.57
Aceh Barat Daya,2020,19445.52
Aceh Barat Daya,2021,19387.24
Aceh Barat Daya,2022,18292.25
Aceh Barat Daya,2023,22317.81
Aceh Barat Daya,2024,25108.0
Aceh Besar,2018,13713.75
Aceh Besar,2019,14095.64
Aceh Besar,2020,14547.15
Aceh Besar,2021,16272.3
Aceh Besar,2022,16446.69
Aceh Besar,2023,19191.39
Aceh Besar,2024,22097.0
Aceh Jaya,2018,17638.71
Aceh Jaya,2019,19686.39
Aceh Jaya,2020,18783.41
Aceh Jaya,2021,20291.87
Aceh Jaya,2022,20885.33
Aceh Jaya,2023,23458.94
Aceh Jaya,2024,25137.0
Aceh Selatan,2018,19300.85
Aceh Selatan,2019,18854.91
Aceh Selatan,2020,18674.8
Aceh Selatan,2021,21073.57
Aceh Selatan,2022,20460.89
Aceh Selatan,2023,20389.22
Aceh Selatan,2024,23639.0
Aceh Singkil,2018,17210.34
Aceh Singkil,2019,21861.22
Aceh Singkil,2020,18257.11
Aceh Singkil,2021,18547.31
Aceh Singkil,2022,17497.09
Aceh Singkil,2023,23467.27
Aceh Singkil,2024,27628.0
Aceh Tamiang,2018,12292.96
Aceh Tamiang,2019,13888.71
Aceh Tamiang,2020,15904.82
Aceh Tamiang,2021,17563.62
Aceh Tamiang,2022,16906.79
Aceh Tamiang,2023,15418.57
Aceh Tamiang,2024,18448.0
Aceh Tengah,2018,22403.58
Aceh Tengah,2019,20649.97
Aceh Tengah,2020,20826.5
Aceh Tengah,2021,18808.6
Aceh Tengah,2022,20136.22
Aceh Tengah,2023,21497.99
Aceh Tengah,2024,24869.0
Aceh Tenggara,2018,21229.76
Aceh Tenggara,2019,21090.73
Aceh Tenggara,2020,22245.29
Aceh Tenggara,2021,21822.6
Aceh Tenggara,2022,21137.41
Aceh Tenggara,2023,23587.04
Aceh Tenggara,2024,23920.0
Aceh Timur,2018,15132.31
Aceh Timur,2019,16350.48
Aceh Timur,2020,16134.62
Aceh Timur,2021,16763.85
Aceh Timur,2022,17213.56
Aceh Timur,2023,20016.43
Aceh Timur,2024,21964.0
Aceh Utara,2018,17252.08
Aceh Utara,2019,14905.22
Aceh Utara,2020,15954.78
Aceh Utara,2021,15595.26
Aceh Utara,2022,16212.13
Aceh Utara,2023,18166.26
Aceh Utara,2024,19023.0
Agam,2018,18506.74
Agam,2019,19085.99
Agam,2020,18353.12
Agam,2021,18892.46
Agam,2022,20374.02
Agam,2023,25710.67
Agam,2024,23863.0
Alor,2018,25370.41
Alor,2019,19705.92
Alor,2020,23430.14
Alor,2021,25214.39
Alor,2022,21901.07
Alor,2023,25408.16
Alor,2024,25514.0
Asahan,2018,16362.38
Asahan,2019,15849.55
Asahan,2020,16703.55
Asahan,2021,16666.31
Asahan,2022,17131.73
Asahan,2023,19228.09
Asahan,2024,22012.0
Asmat,2018,10327.25
Asmat,2019,8840.74
Asmat,2020,11789.79
Asmat,2021,14127.28
Asmat,2022,12035.02
Asmat,2023,11470.28
Asmat,2024,11759.0
Badung,2018,15840.78
Badung,2019,16274.24
Badung,2020,16789.53
Badung,2021,18702.24
Badung,2022,19937.46
Badung,2023,20637.23
Badung,2024,25364.0
Balangan,2018,14956.35
Balangan,2019,14655.01
Balangan,2020,15346.06
Balangan,2021,16769.74
Balangan,2022,16167.23
Balangan,2023,20900.36
Balangan,2024,21155.0
Bandung,2018,14551.61
Bandung,2019,15279.04
Bandung,2020,15092.67
Bandung,2021,16000.4
Bandung,2022,15377.95
Bandung,2023,17239.17
Bandung,2024,18899.0
Bandung Barat,2018,15584.59
Bandung Barat,2019,15852.75
Bandung Barat,2020,15338.41
Bandung Barat,2021,17019.11
Bandung Barat,2022,17265.01
Bandung Barat,2023,17280.68
Bandung Barat,2024,20278.0
Banggai,2018,17590.63
Banggai,2019,14358.53
Banggai,2020,19386.4
Banggai,2021,18014.8
Banggai,2022,17909.7
Banggai,2023,24683.76
Banggai,2024,23345.0
Banggai Kepulauan,2018,17201.19
Banggai Kepulauan,2019,16398.19
Banggai Kepulauan,2020,19435.39
Banggai Kepulauan,2021,19704.24
Banggai Kepulauan,2022,18721.45
Banggai Kepulauan,2023,22524.77
Banggai Kepulauan,2024,26142.0
Banggai Laut,2018,18859.51
Banggai Laut,2019,19420.78
Banggai Laut,2020,19122.67
Banggai Laut,2021,20915.03
Banggai Laut,2022,23437.89
Banggai Laut,2023,25778.36
Banggai Laut,2024,25443.0
Bangka,2018,19265.21
Bangka,2019,17983.1
Bangka,2020,17640.22
Bangka,2021,19274.83
Bangka,2022,17889.94
Bangka,2023,19807.23
Bangka,2024,25387.0
