Kabupaten/Kota,Tahun,Pengeluaran Perkapita Rokok dan Tembakau
Aceh Barat,2018,25505.96
Aceh Barat,2019,22338.77
Aceh Barat,2020,26227.26
Aceh Barat,2021,30775.45
Aceh Barat,2022,29389.57
Aceh Barat,2023,36364.66
Aceh Barat,2024,30301.0
Aceh Barat Daya,2018,14182.76
Aceh Barat Daya,2019,18020.76
Aceh Barat Daya,2020,20489.48
Aceh Barat Daya,2021,20216.02
Aceh Barat Daya,2022,24442.14
Aceh Barat Daya,2023,24602.11
Aceh Barat Daya,2024,27257.0
Aceh Besar,2018,14103.41
Aceh Besar,2019,17630.63
Aceh Besar,2020,15995.95
Aceh Besar,2021,20261.32
Aceh Besar,2022,15647.48
Aceh Besar,2023,18198.26
Aceh Besar,2024,20848.0
Aceh Jaya,2018,28189.83
Aceh Jaya,2019,25480.31
Aceh Jaya,2020,26205.53
Aceh Jaya,2021,30069.33
Aceh Jaya,2022,28988.15
Aceh Jaya,2023,29257.27
Aceh Jaya,2024,35104.0
Aceh Selatan,2018,15533.35
Aceh Selatan,2019,18129.78
Aceh Selatan,2020,18703.92
Aceh Selatan,2021,23434.49
Aceh Selatan,2022,25418.42
Aceh Selatan,2023,25916.49
Aceh Selatan,2024,22777.0
Aceh Singkil,2018,21707.28
Aceh Singkil,2019,18165.89
Aceh Singkil,2020,18407.61
Aceh Singkil,2021,18517.4
Aceh Singkil,2022,20336.85
Aceh Singkil,2023,28321.17
Aceh Singkil,2024,24703.0
Aceh Tamiang,2018,13199.57
Aceh Tamiang,2019,13523.69
Aceh Tamiang,2020,13839.42
Aceh Tamiang,2021,14433.9
Aceh Tamiang,2022,17014.34
Aceh Tamiang,2023,18960.37
Aceh Tamiang,2024,18310.0
Aceh Tengah,2018,20377.16
Aceh Tengah,2019,20242.76
Aceh Tengah,2020,25062.25
Aceh Tengah,2021,27355.18
Aceh Tengah,2022,25063.9
Aceh Tengah,2023,26363.18
Aceh Tengah,2024,28471.0
Aceh Tenggara,2018,20625.24
Aceh Tenggara,2019,20346.15
Aceh Tenggara,2020,20164.26
Aceh Tenggara,2021,21578.18
Aceh Tenggara,2022,22941.6
Aceh Tenggara,2023,24973.65
Aceh Tenggara,2024,24582.0
Aceh Timur,2018,22081.74
Aceh Timur,2019,21699.18
Aceh Timur,2020,25768.38
Aceh Timur,2021,22930.88
Aceh Timur,2022,28301.91
Aceh Timur,2023,23444.44
Aceh Timur,2024,28377.0
Aceh Utara,2018,16490.66
Aceh Utara,2019,13353.47
Aceh Utara,2020,16122.82
Aceh Utara,2021,12529.73
Aceh Utara,2022,16148.91
Aceh Utara,2023,15665.42
Aceh Utara,2024,16916.0
Agam,2018,18116.29
Agam,2019,17274.39
Agam,2020,19582.07
Agam,2021,21260.29
Agam,2022,22519.44
Agam,2023,20295.65
Agam,2024,21985.0
Alor,2018,8389.79
Alor,2019,12846.86
Alor,2020,14394.44
Alor,2021,14029.55
Alor,2022,12478.14
Alor,2023,11392.3
Alor,2024,11394.0
Asahan,2018,17153.0
Asahan,2019,17711.52
Asahan,2020,17567.19
Asahan,2021,20789.0
Asahan,2022,23022.3
Asahan,2023,28196.25
Asahan,2024,27138.0
Asmat,2018,9533.44
Asmat,2019,13226.34
Asmat,2020,15032.61
Asmat,2021,19705.09
Asmat,2022,13981.72
Asmat,2023,11671.94
Asmat,2024,14044.0
Badung,2018,11822.49
Badung,2019,13962.73
Badung,2020,13797.99
Badung,2021,12909.72
Badung,2022,12288.33
Badung,2023,13556.18
Badung,2024,17525.0
Balangan,2018,11634.03
Balangan,2019,12852.8
Balangan,2020,15695.15
Balangan,2021,18091.67
Balangan,2022,14604.85
Balangan,2023,16474.95
Balangan,2024,17834.0
Bandung,2018,16588.19
Bandung,2019,17922.75
Bandung,2020,18162.35
Bandung,2021,20476.08
Bandung,2022,18753.79
Bandung,2023,25272.77
Bandung,2024,25150.0
Bandung Barat,2018,15746.26
Bandung Barat,2019,21829.66
Bandung Barat,2020,21472.13
Bandung Barat,2021,23510.47
Bandung Barat,2022,23802.33
Bandung Barat,2023,22825.94
Bandung Barat,2024,22565.0
Banggai,2018,16919.62
Banggai,2019,16436.07
Banggai,2020,17447.55
Banggai,2021,18231.97
Banggai,2022,21054.68
Banggai,2023,24044.85
Banggai,2024,22097.0
Banggai Kepulauan,2018,16212.23
Banggai Kepulauan,2019,16423.48
Banggai Kepulauan,2020,15113.09
Banggai Kepulauan,2021,14641.45
Banggai Kepulauan,2022,15781.08
Banggai Kepulauan,2023,13749.13
Banggai Kepulauan,2024,19489.0
Banggai Laut,2018,13376.61
Banggai Laut,2019,16127.04
Banggai Laut,2020,20141.3
Banggai Laut,2021,21447.12
Banggai Laut,2022,20921.16
Banggai Laut,2023,20008.44
Banggai Laut,2024,20980.0
Bangka,2018,20649.77
Bangka,2019,24245.76
Bangka,2020,24290.81
Bangka,2021,23311.8
Bangka,2022,26736.75
Bangka,2023,28011.47
Bangka,2024,29229.0
Bangka Barat,2018,24608.51
Bangka Barat,2019,24042.51
Bangka Barat,2020,23378.95
Bangka Barat,2021,23927.9
Bangka Barat,2022,30371.43
Bangka Barat,2023,31138.13
Bangka Barat,2024,34830.0
Bangka Selatan,2018,23199.87
Bangka Selatan,2019,26052.92
Bangka Selatan,2020,23077.34
Bangka Selatan,2021,27323.12
Bangka Selatan,2022,29493.66
Bangka Selatan,2023,29525.89
Bangka Selatan,2024,29983.0
Bangka Tengah,2018,23544.47
Bangka Tengah,2019,25847.85
Bangka Tengah,2020,28071.37
Bangka Tengah,2021,27213.77
Bangka Tengah,2022,34053.09
Bangka Tengah,2023,33970.72
Bangka Tengah,2024,30449.0
Bangkalan,2018,14776.36
Bangkalan,2019,15835.41
Bangkalan,2020,18996.52
Bangkalan,2021,18993.71
Bangkalan,2022,20625.93
Bangkalan,2023,18171.73
Bangkalan,2024,18196.0
Bangli,2018,10787.44
Bangli,2019,10714.22
Bangli,2020,12623.07
Bangli,2021,10163.26
Bangli,2022,10935.43
Bangli,2023,16013.98
Bangli,2024,16138.0
Banjar,2018,14168.33
Banjar,2019,15236.67
Banjar,2020,16474.63
Banjar,2021,18899.31
Banjar,2022,17021.08
Banjar,2023,17509.42
Banjar,2024,16484.0
Banjarnegara,2018,12954.22
Banjarnegara,2019,13557.23
Banjarnegara,2020,15534.87
Banjarnegara,2021,17462.68
Banjarnegara,2022,18808.68
Banjarnegara,2023,19154.38
Banjarnegara,2024,17631.0
Bantaeng,2018,16145.37
Bantaeng,2019,16123.23
Bantaeng,2020,15217.22
Bantaeng,2021,18713.86
Bantaeng,2022,20498.67
Bantaeng,2023,21531.41
Bantaeng,2024,22413.0
Bantul,2018,7794.15
Bantul,2019,9424.81
Bantul,2020,10563.85
Bantul,2021,12223.41
Bantul,2022,13162.25
Bantul,2023,15414.91
Bantul,2024,16145.0
Banyu Asin,2018,16577.48
Banyu Asin,2019,17116.38
Banyu Asin,2020,17256.79
Banyu Asin,2021,20444.5
Banyu Asin,2022,20946.01
Banyu Asin,2023,23996.87
Banyu Asin,2024,23179.0
Banyumas,2018,13755.58
Banyumas,2019,13009.2
Banyumas,2020,13862.41
Banyumas,2021,14813.08
Banyumas,2022,16959.28
Banyumas,2023,19000.43
Banyumas,2024,19337.0
Banyuwangi,2018,15818.6
Banyuwangi,2019,14095.67
Banyuwangi,2020,15719.76
Banyuwangi,2021,16853.96
Banyuwangi,2022,18516.71
Banyuwangi,2023,19931.95
Banyuwangi,2024,22973.0
Barito Kuala,2018,11749.89
Barito Kuala,2019,13468.06
Barito Kuala,2020,14751.17
Barito Kuala,2021,16382.36
Barito Kuala,2022,16160.55
Barito Kuala,2023,20008.37
Barito Kuala,2024,18844.0
Barito Selatan,2018,15748.67
Barito Selatan,2019,17687.62
Barito Selatan,2020,19139.95
Barito Selatan,2021,16860.37
Barito Selatan,2022,20147.5
Barito Selatan,2023,20552.29
Barito Selatan,2024,21593.0
Barito Timur,2018,17933.81
Barito Timur,2019,15429.34
Barito Timur,2020,16204.06
Barito Timur,2021,16081.71
Barito Timur,2022,21473.69
Barito Timur,2023,19853.24
Barito Timur,2024,21928.0
Barito Utara,2018,15988.4
Barito Utara,2019,17682.85
Barito Utara,2020,20961.43
Barito Utara,2021,21136.57
Barito Utara,2022,26914.87
Barito Utara,2023,24721.08
Barito Utara,2024,28537.0
Barru,2018,11523.75
Barru,2019,12305.78
Barru,2020,11884.98
Barru,2021,16402.37
Barru,2022,17118.92
Barru,2023,20054.38
Barru,2024,17556.0
Batang,2018,14308.0
Batang,2019,15543.34
Batang,2020,17948.08
Batang,2021,16365.34
Batang,2022,17465.3
Batang,2023,20603.05
Batang,2024,21742.0
Batang Hari,2018,16260.23
Batang Hari,2019,19495.12
Batang Hari,2020,18835.85
