Kabupaten/Kota,Tahun,Pengeluaran Perkapita Telur dan Susu
Aceh Barat,2018,5793.05
Aceh Barat,2019,5385.41
Aceh Barat,2020,6762.96
Aceh Barat,2021,6965.66
Aceh Barat,2022,6443.15
Aceh Barat,2023,5885.23
Aceh Barat,2024,6195.0
Aceh Barat Daya,2018,4252.43
Aceh Barat Daya,2019,4000.95
Aceh Barat Daya,2020,3686.39
Aceh Barat Daya,2021,4373.83
Aceh Barat Daya,2022,3570.57
Aceh Barat Daya,2023,4396.2
Aceh Barat Daya,2024,4885.0
Aceh Besar,2018,7712.87
Aceh Besar,2019,6915.03
Aceh Besar,2020,7060.66
Aceh Besar,2021,6245.72
Aceh Besar,2022,5529.55
Aceh Besar,2023,7769.65
Aceh Besar,2024,7148.0
Aceh Jaya,2018,4924.21
Aceh Jaya,2019,5022.77
Aceh Jaya,2020,4567.32
Aceh Jaya,2021,5183.12
Aceh Jaya,2022,6311.18
Aceh Jaya,2023,5939.36
Aceh Jaya,2024,6695.0
Aceh Selatan,2018,3969.17
Aceh Selatan,2019,4097.75
Aceh Selatan,2020,4714.93
Aceh Selatan,2021,4492.04
Aceh Selatan,2022,3604.5
Aceh Selatan,2023,3858.72
Aceh Selatan,2024,4774.0
Aceh Singkil,2018,6708.68
Aceh Singkil,2019,4844.37
Aceh Singkil,2020,5871.37
Aceh Singkil,2021,5499.81
Aceh Singkil,2022,5539.81
Aceh Singkil,2023,7063.68
Aceh Singkil,2024,7327.0
Aceh Tamiang,2018,6973.56
Aceh Tamiang,2019,5566.8
Aceh Tamiang,2020,5695.89
Aceh Tamiang,2021,6043.43
Aceh Tamiang,2022,6341.87
Aceh Tamiang,2023,6488.04
Aceh Tamiang,2024,6396.0
Aceh Tengah,2018,6729.44
Aceh Tengah,2019,6535.74
Aceh Tengah,2020,8641.61
Aceh Tengah,2021,7861.01
Aceh Tengah,2022,6107.29
Aceh Tengah,2023,5887.02
Aceh Tengah,2024,6881.0
Aceh Tenggara,2018,5316.18
Aceh Tenggara,2019,4468.18
Aceh Tenggara,2020,4944.96
Aceh Tenggara,2021,6054.92
Aceh Tenggara,2022,4681.51
Aceh Tenggara,2023,5847.89
Aceh Tenggara,2024,5916.0
Aceh Timur,2018,4662.81
Aceh Timur,2019,3648.91
Aceh Timur,2020,4915.78
Aceh Timur,2021,4622.94
Aceh Timur,2022,4549.02
Aceh Timur,2023,4440.83
Aceh Timur,2024,4340.0
Aceh Utara,2018,3570.36
Aceh Utara,2019,5065.77
Aceh Utara,2020,3866.53
Aceh Utara,2021,3715.73
Aceh Utara,2022,4036.21
Aceh Utara,2023,5058.06
Aceh Utara,2024,3654.0
Agam,2018,6954.42
Agam,2019,6603.28
Agam,2020,7067.51
Agam,2021,7073.14
Agam,2022,7466.53
Agam,2023,7682.2
Agam,2024,7398.0
Alor,2018,3106.76
Alor,2019,3887.01
Alor,2020,4684.58
Alor,2021,3746.84
Alor,2022,3760.78
Alor,2023,4097.8
Alor,2024,3248.0
Asahan,2018,7760.86
Asahan,2019,7390.14
Asahan,2020,7927.32
Asahan,2021,7716.45
Asahan,2022,7473.65
Asahan,2023,8109.78
Asahan,2024,7643.0
Asmat,2018,3306.85
Asmat,2019,4926.04
Asmat,2020,4573.47
Asmat,2021,6178.83
Asmat,2022,5175.46
Asmat,2023,4763.06
Asmat,2024,5853.0
Badung,2018,8714.94
Badung,2019,9082.59
Badung,2020,10820.23
Badung,2021,10042.77
Badung,2022,8004.39
Badung,2023,10329.33
Badung,2024,11507.0
Balangan,2018,6597.73
Balangan,2019,7395.48
Balangan,2020,7409.01
Balangan,2021,7918.91
Balangan,2022,9738.16
Balangan,2023,9298.54
Balangan,2024,8998.0
Bandung,2018,7794.74
Bandung,2019,7883.58
Bandung,2020,7865.76
Bandung,2021,8348.06
Bandung,2022,7575.75
Bandung,2023,8221.94
Bandung,2024,8056.0
Bandung Barat,2018,5409.14
Bandung Barat,2019,7170.48
Bandung Barat,2020,6899.88
