Kabupaten/Kota,Tahun,Pengeluaran Perkapita Umbi-Umbian
Aceh Barat,2018,1016.09
Aceh Barat,2019,997.98
Aceh Barat,2020,1377.97
Aceh Barat,2021,1632.07
Aceh Barat,2022,2018.24
Aceh Barat,2023,1658.65
Aceh Barat,2024,1598.0
Aceh Barat Daya,2018,529.22
Aceh Barat Daya,2019,644.7
Aceh Barat Daya,2020,896.21
Aceh Barat Daya,2021,848.86
Aceh Barat Daya,2022,738.81
Aceh Barat Daya,2023,828.86
Aceh Barat Daya,2024,1022.0
Aceh Besar,2018,982.47
Aceh Besar,2019,860.42
Aceh Besar,2020,1169.18
Aceh Besar,2021,1209.45
Aceh Besar,2022,1260.01
Aceh Besar,2023,1270.28
Aceh Besar,2024,1337.0
Aceh Jaya,2018,935.9
Aceh Jaya,2019,963.56
Aceh Jaya,2020,1286.26
Aceh Jaya,2021,1541.82
Aceh Jaya,2022,1342.58
Aceh Jaya,2023,1419.32
Aceh Jaya,2024,1532.0
Aceh Selatan,2018,519.96
Aceh Selatan,2019,716.95
Aceh Selatan,2020,780.68
Aceh Selatan,2021,998.81
Aceh Selatan,2022,882.98
Aceh Selatan,2023,603.42
Aceh Selatan,2024,1160.0
Aceh Singkil,2018,1206.67
Aceh Singkil,2019,1143.24
Aceh Singkil,2020,1164.51
Aceh Singkil,2021,1649.46
Aceh Singkil,2022,1687.95
Aceh Singkil,2023,1967.68
Aceh Singkil,2024,1608.0
Aceh Tamiang,2018,760.76
Aceh Tamiang,2019,658.99
Aceh Tamiang,2020,674.5
Aceh Tamiang,2021,845.2
Aceh Tamiang,2022,991.31
Aceh Tamiang,2023,1490.19
Aceh Tamiang,2024,1322.0
Aceh Tengah,2018,1461.21
Aceh Tengah,2019,1331.69
Aceh Tengah,2020,1736.72
Aceh Tengah,2021,1855.59
Aceh Tengah,2022,2061.64
Aceh Tengah,2023,2005.41
Aceh Tengah,2024,2278.0
Aceh Tenggara,2018,1114.19
Aceh Tenggara,2019,1088.34
Aceh Tenggara,2020,673.83
Aceh Tenggara,2021,1202.41
Aceh Tenggara,2022,1122.85
Aceh Tenggara,2023,1077.42
Aceh Tenggara,2024,1367.0
Aceh Timur,2018,699.58
Aceh Timur,2019,610.62
Aceh Timur,2020,917.18
Aceh Timur,2021,1068.12
Aceh Timur,2022,1235.28
Aceh Timur,2023,1081.03
Aceh Timur,2024,1213.0
Aceh Utara,2018,562.48
Aceh Utara,2019,560.75
Aceh Utara,2020,645.94
Aceh Utara,2021,676.26
Aceh Utara,2022,1011.18
Aceh Utara,2023,1641.4
Aceh Utara,2024,1023.0
Agam,2018,1650.36
Agam,2019,1452.12
Agam,2020,1405.45
Agam,2021,1731.18
Agam,2022,1980.0
Agam,2023,2483.06
Agam,2024,2231.0
Alor,2018,1765.19
Alor,2019,1417.32
Alor,2020,1585.34
Alor,2021,2168.41
Alor,2022,1696.87
Alor,2023,2932.6
Alor,2024,2277.0
Asahan,2018,1318.07
Asahan,2019,1261.0
Asahan,2020,1250.06
Asahan,2021,1489.2
Asahan,2022,1468.61
Asahan,2023,1583.75
Asahan,2024,1633.0
Asmat,2018,8072.24
Asmat,2019,9589.56
Asmat,2020,10177.21
Asmat,2021,10385.76
Asmat,2022,10663.31
Asmat,2023,8518.97
Asmat,2024,12597.0
Badung,2018,942.49
Badung,2019,1436.87
Badung,2020,1380.98
Badung,2021,1527.28
Badung,2022,1678.46
Badung,2023,2117.91
Badung,2024,2132.0
Balangan,2018,430.16
Balangan,2019,413.19
Balangan,2020,658.65
Balangan,2021,750.94
Balangan,2022,920.81
Balangan,2023,884.99
Balangan,2024,501.0
Bandung,2018,1256.44
Bandung,2019,1528.64
Bandung,2020,1310.69
Bandung,2021,1669.73
Bandung,2022,1722.06
Bandung,2023,1784.38
Bandung,2024,1485.0
Bandung Barat,2018,1245.0
Bandung Barat,2019,1469.03
Bandung Barat,2020,1458.1
Bandung Barat,2021,1867.2
Bandung Barat,2022,2307.13
Bandung Barat,2023,2020.18
Bandung Barat,2024,1939.0
Banggai,2018,1450.23
Banggai,2019,1175.42
Banggai,2020,1820.96
Banggai,2021,1750.28
Banggai,2022,1857.07
Banggai,2023,1610.37
Banggai,2024,2070.0
Banggai Kepulauan,2018,4898.57
Banggai Kepulauan,2019,3818.98
Banggai Kepulauan,2020,3028.73
Banggai Kepulauan,2021,4768.55
Banggai Kepulauan,2022,4313.64
Banggai Kepulauan,2023,5459.34
Banggai Kepulauan,2024,5186.0
Banggai Laut,2018,3626.15
Banggai Laut,2019,2450.87
Banggai Laut,2020,2426.94
Banggai Laut,2021,3714.96
Banggai Laut,2022,3980.88
Banggai Laut,2023,3978.21
Banggai Laut,2024,3112.0
Bangka,2018,1191.89
Bangka,2019,1229.97
Bangka,2020,1381.02
Bangka,2021,1524.67
Bangka,2022,1702.04
Bangka,2023,2324.41
Bangka,2024,2015.0
Bangka Barat,2018,1516.04
Bangka Barat,2019,1282.51
Bangka Barat,2020,1376.48
Bangka Barat,2021,1747.52
Bangka Barat,2022,1344.02
Bangka Barat,2023,2110.14
Bangka Barat,2024,1268.0
Bangka Selatan,2018,812.76
Bangka Selatan,2019,1053.85
Bangka Selatan,2020,1056.69
Bangka Selatan,2021,1147.01
Bangka Selatan,2022,1103.39
Bangka Selatan,2023,997.5
Bangka Selatan,2024,1265.0
Bangka Tengah,2018,737.85
Bangka Tengah,2019,1203.19
Bangka Tengah,2020,1224.4
Bangka Tengah,2021,1459.97
Bangka Tengah,2022,1601.48
Bangka Tengah,2023,1850.93
Bangka Tengah,2024,1542.0
Bangkalan,2018,825.09
Bangkalan,2019,814.02
Bangkalan,2020,794.31
Bangkalan,2021,1209.37
Bangkalan,2022,1532.83
Bangkalan,2023,1555.41
Bangkalan,2024,1355.0
Bangli,2018,1287.53
Bangli,2019,1249.13
Bangli,2020,1236.04
Bangli,2021,1698.03
Bangli,2022,1583.98
Bangli,2023,2100.17
Bangli,2024,1551.0
Banjar,2018,386.71
Banjar,2019,462.34
Banjar,2020,673.69
Banjar,2021,974.23
Banjar,2022,1105.2
Banjar,2023,897.09
Banjar,2024,717.0
Banjarnegara,2018,947.5
Banjarnegara,2019,999.87
Banjarnegara,2020,1058.83
Banjarnegara,2021,1777.35
Banjarnegara,2022,1048.04
Banjarnegara,2023,1418.38
Banjarnegara,2024,1181.0
Bantaeng,2018,1211.24
Bantaeng,2019,1182.49
Bantaeng,2020,1815.72
Bantaeng,2021,2345.57
Bantaeng,2022,2018.19
Bantaeng,2023,2009.97
Bantaeng,2024,1809.0
Bantul,2018,715.64
Bantul,2019,681.76
Bantul,2020,955.22
Bantul,2021,1225.64
Bantul,2022,1233.56
Bantul,2023,1557.17
Bantul,2024,1408.0
Banyu Asin,2018,1096.48
Banyu Asin,2019,1168.67
Banyu Asin,2020,1259.73
Banyu Asin,2021,1968.73
Banyu Asin,2022,2005.34
Banyu Asin,2023,2573.38
Banyu Asin,2024,2567.0
Banyumas,2018,1028.63
Banyumas,2019,1005.53
Banyumas,2020,1135.05
Banyumas,2021,1401.97
Banyumas,2022,1467.66
Banyumas,2023,1656.61
Banyumas,2024,1416.0
Banyuwangi,2018,545.34
Banyuwangi,2019,694.31
Banyuwangi,2020,628.99
Banyuwangi,2021,789.29
Banyuwangi,2022,954.18
Banyuwangi,2023,1126.42
Banyuwangi,2024,1560.0
Barito Kuala,2018,749.9
Barito Kuala,2019,688.61
