Kabupaten/Kota,Tahun,Persentase Penduduk Miskin
Aceh Barat,2018,19.31
Aceh Barat,2019,18.79
Aceh Barat,2020,18.34
Aceh Barat,2021,18.81
Aceh Barat,2022,17.93
Aceh Barat,2023,17.86
Aceh Barat,2024,17.6
Aceh Barat Daya,2018,17.1
Aceh Barat Daya,2019,16.26
Aceh Barat Daya,2020,15.93
Aceh Barat Daya,2021,16.34
Aceh Barat Daya,2022,15.44
Aceh Barat Daya,2023,15.43
Aceh Barat Daya,2024,15.32
Aceh Besar,2018,14.47
Aceh Besar,2019,13.92
Aceh Besar,2020,13.84
Aceh Besar,2021,14.05
Aceh Besar,2022,13.38
Aceh Besar,2023,13.38
Aceh Besar,2024,13.21
Aceh Jaya,2018,14.16
Aceh Jaya,2019,13.36
Aceh Jaya,2020,12.87
Aceh Jaya,2021,13.23
Aceh Jaya,2022,12.51
Aceh Jaya,2023,12.42
Aceh Jaya,2024,12.25
Aceh Selatan,2018,14.01
Aceh Selatan,2019,13.09
Aceh Selatan,2020,12.87
Aceh Selatan,2021,13.18
Aceh Selatan,2022,12.43
Aceh Selatan,2023,12.1
Aceh Selatan,2024,12.02
Aceh Singkil,2018,21.25
Aceh Singkil,2019,20.78
Aceh Singkil,2020,20.2
Aceh Singkil,2021,20.36
Aceh Singkil,2022,19.18
Aceh Singkil,2023,19.15
Aceh Singkil,2024,19.06
Aceh Tamiang,2018,14.21
Aceh Tamiang,2019,13.38
Aceh Tamiang,2020,13.08
Aceh Tamiang,2021,13.34
Aceh Tamiang,2022,12.61
Aceh Tamiang,2023,12.51
Aceh Tamiang,2024,12.17
Aceh Tengah,2018,15.58
Aceh Tengah,2019,15.5
Aceh Tengah,2020,15.08
Aceh Tengah,2021,15.26
Aceh Tengah,2022,14.5
Aceh Tengah,2023,14.38
Aceh Tengah,2024,14.27
Aceh Tenggara,2018,14.29
Aceh Tenggara,2019,13.43
Aceh Tenggara,2020,13.21
Aceh Tenggara,2021,13.41
Aceh Tenggara,2022,12.83
Aceh Tenggara,2023,12.45
Aceh Tenggara,2024,11.99
Aceh Timur,2018,14.49
Aceh Timur,2019,14.47
Aceh Timur,2020,14.08
Aceh Timur,2021,14.45
Aceh Timur,2022,13.91
Aceh Timur,2023,13.39
Aceh Timur,2024,13.26
Aceh Utara,2018,18.27
Aceh Utara,2019,17.39
Aceh Utara,2020,17.02
Aceh Utara,2021,17.43
Aceh Utara,2022,16.86
Aceh Utara,2023,16.64
Aceh Utara,2024,16.11
Agam,2018,6.76
Agam,2019,6.75
Agam,2020,6.75
Agam,2021,6.85
Agam,2022,6.22
Agam,2023,6.6
Agam,2024,6.83
Alor,2018,21.63
Alor,2019,21.59
Alor,2020,21.09
Alor,2021,21.09
Alor,2022,20.25
Alor,2023,19.97
Alor,2024,19.87
Asahan,2018,10.25
Asahan,2019,9.68
Asahan,2020,9.04
Asahan,2021,9.35
Asahan,2022,8.64
Asahan,2023,8.21
Asahan,2024,8.12
Asmat,2018,27.41
Asmat,2019,26.6
Asmat,2020,25.49
Asmat,2021,24.83
Asmat,2022,24.87
Asmat,2023,24.36
Asmat,2024,24.5
Badung,2018,1.98
Badung,2019,1.78
