Kabupaten/Kota,Tahun,Prevalensi Konsumsi Pangan Tidak Cukup
Simeulue,2018,14.12
Aceh Singkil,2018,6.36
Aceh Selatan,2018,11.76
Aceh Tenggara,2018,7.54
Aceh Timur,2018,7.28
Aceh Tengah,2018,6.71
Aceh Barat,2018,8.01
Aceh Besar,2018,6.7
Pidie,2018,9.13
Bireuen,2018,8.88
Aceh Utara,2018,12.06
Aceh Barat Daya,2018,10.92
Gayo Lues,2018,7.75
Aceh Tamiang,2018,12.96
Nagan Raya,2018,11.24
Aceh Jaya,2018,8.64
Bener Meriah,2018,7.43
Pidie Jaya,2018,5.09
Kota Banda Aceh,2018,3.52
Kota Sabang,2018,5.28
Kota Langsa,2018,6.49
Kota Lhokseumawe,2018,6.5
Kota Subulussalam,2018,8.04
Nias,2018,5.8
Mandailing Natal,2018,5.27
Tapanuli Selatan,2018,5.38
Tapanuli Tengah,2018,6.2
Tapanuli Utara,2018,4.37
Toba Samosir,2018,3.81
Labuhan Batu,2018,4.15
Asahan,2018,5.18
Simalungun,2018,7.03
Dairi,2018,4.64
Karo,2018,3.65
Deli Serdang,2018,6.95
Langkat,2018,7.79
Nias Selatan,2018,8.62
Humbang Hasundutan,2018,4.28
Pakpak Bharat,2018,4.14
Samosir,2018,5.16
Serdang Bedagai,2018,6.49
Batu Bara,2018,6.1
Padang Lawas Utara,2018,4.03
Padang Lawas,2018,3.69
Labuhan Batu Selatan,2018,3.75
Labuhan Batu Utara,2018,5.25
Nias Utara,2018,7.23
Nias Barat,2018,6.42
Kota Sibolga,2018,6.19
Kota Tanjung Balai,2018,6.66
Kota Pematang Siantar,2018,6.71
Kota Tebing Tinggi,2018,8.89
Kota Medan,2018,4.16
Kota Binjai,2018,8.31
Kota Padangsidimpuan,2018,6.53
Kota Gunungsitoli,2018,4.17
Kepulauan Mentawai,2018,6.47
Pesisir Selatan,2018,4.66
Solok,2018,5.91
Sijunjung,2018,5.97
Tanah Datar,2018,6.55
Padang Pariaman,2018,5.17
Agam,2018,5.91
Lima Puluh Kota,2018,7.04
Pasaman,2018,7.59
Solok Selatan,2018,5.8
Dharmasraya,2018,4.78
Pasaman Barat,2018,6.06
Kota Padang,2018,3.76
Kota Solok,2018,4.58
Kota Sawah Lunto,2018,5.68
Kota Padang Panjang,2018,4.69
Kota Bukittinggi,2018,4.83
Kota Payakumbuh,2018,4.44
Kota Pariaman,2018,3.94
Kuantan Singingi,2018,11.37
Indragiri Hulu,2018,10.45
Indragiri Hilir,2018,15.2
Pelalawan,2018,7.26
Siak,2018,8.94
Kampar,2018,10.09
Rokan Hulu,2018,8.59
Bengkalis,2018,9.37
Rokan Hilir,2018,9.94
Kepulauan Meranti,2018,11.62
Kota Pekanbaru,2018,7.02
Kota Dumai,2018,8.25
Kerinci,2018,12.71
Merangin,2018,10.13
Sarolangun,2018,10.84
Batang Hari,2018,10.39
Muaro Jambi,2018,10.14
Tanjung Jabung Timur,2018,10.02
Tanjung Jabung Barat,2018,14.28
Tebo,2018,10.02
Bungo,2018,10.2
Kota Jambi,2018,6.53
Kota Sungai Penuh,2018,6.31
Ogan Komering Ulu,2018,9.4
Ogan Komering Ilir,2018,9.66
Muara Enim,2018,11.05
Lahat,2018,12.65
Musi Rawas,2018,10.91
Musi Banyuasin,2018,8.15
Banyu Asin,2018,12.32
Ogan Komering Ulu Selatan,2018,14.0
Ogan Komering Ulu Timur,2018,10.62
Ogan Ilir,2018,11.05
Empat Lawang,2018,13.41
Penukal Abab Lematang Ilir,2018,11.97
Musi Rawas Utara,2018,8.63
