Kabupaten/Kota,Tahun,Rata-rata Lama Sekolah_Laki-laki,Rata-rata Lama Sekolah_Perempuan
Aceh Barat,2018,9.45,8.83
Aceh Barat,2019,9.46,8.84
Aceh Barat,2020,9.71,9.15
Aceh Barat,2021,9.82,9.39
Aceh Barat,2022,10.15,9.58
Aceh Barat,2023,10.16,9.8
Aceh Barat,2024,10.17,9.81
Aceh Barat Daya,2018,8.37,8.05
Aceh Barat Daya,2019,8.59,8.3
Aceh Barat Daya,2020,8.92,8.52
Aceh Barat Daya,2021,8.93,8.53
Aceh Barat Daya,2022,8.94,8.54
Aceh Barat Daya,2023,8.96,8.66
Aceh Barat Daya,2024,8.97,8.67
Aceh Besar,2018,10.39,9.74
Aceh Besar,2019,10.51,10.1
Aceh Besar,2020,10.52,10.11
Aceh Besar,2021,10.53,10.13
Aceh Besar,2022,10.55,10.31
Aceh Besar,2023,10.56,10.36
Aceh Besar,2024,10.57,10.37
Aceh Jaya,2018,8.63,8.12
Aceh Jaya,2019,8.88,8.41
Aceh Jaya,2020,8.89,8.59
Aceh Jaya,2021,8.9,8.6
Aceh Jaya,2022,8.92,8.61
Aceh Jaya,2023,8.93,8.63
Aceh Jaya,2024,9.25,8.64
Aceh Selatan,2018,8.89,7.89
Aceh Selatan,2019,9.07,8.1
Aceh Selatan,2020,9.19,8.41
Aceh Selatan,2021,9.2,8.42
Aceh Selatan,2022,9.21,8.43
Aceh Selatan,2023,9.23,8.45
Aceh Selatan,2024,9.24,8.46
Aceh Singkil,2018,8.62,7.47
Aceh Singkil,2019,8.94,7.94
Aceh Singkil,2020,8.96,7.95
Aceh Singkil,2021,9.01,8.17
Aceh Singkil,2022,9.02,8.21
Aceh Singkil,2023,9.03,8.28
Aceh Singkil,2024,9.05,8.29
Aceh Tamiang,2018,9.02,8.4
Aceh Tamiang,2019,9.13,8.66
Aceh Tamiang,2020,9.14,8.67
Aceh Tamiang,2021,9.15,8.83
Aceh Tamiang,2022,9.28,8.84
Aceh Tamiang,2023,9.51,9.01
Aceh Tamiang,2024,9.52,9.07
Aceh Tengah,2018,9.84,9.63
Aceh Tengah,2019,9.85,9.64
Aceh Tengah,2020,10.02,9.68
Aceh Tengah,2021,10.03,9.69
Aceh Tengah,2022,10.04,9.7
Aceh Tengah,2023,10.06,9.72
Aceh Tengah,2024,10.07,9.92
Aceh Tenggara,2018,10.19,9.11
Aceh Tenggara,2019,10.2,9.12
Aceh Tenggara,2020,10.21,9.13
Aceh Tenggara,2021,10.22,9.21
Aceh Tenggara,2022,10.24,9.55
Aceh Tenggara,2023,10.39,9.81
Aceh Tenggara,2024,10.4,9.82
Aceh Timur,2018,8.29,7.5
Aceh Timur,2019,8.3,7.51
Aceh Timur,2020,8.56,7.84
Aceh Timur,2021,8.57,7.96
Aceh Timur,2022,8.58,8.13
Aceh Timur,2023,8.6,8.38
Aceh Timur,2024,8.61,8.47
Aceh Utara,2018,8.57,7.62
Aceh Utara,2019,8.83,7.97
Aceh Utara,2020,8.86,8.19
Aceh Utara,2021,8.87,8.31
Aceh Utara,2022,9.02,8.4
Aceh Utara,2023,9.03,8.72
Aceh Utara,2024,9.3,8.98
Agam,2018,8.67,8.7
Agam,2019,8.88,8.82
Agam,2020,8.89,9.05
Agam,2021,8.9,9.06
Agam,2022,8.92,9.07
Agam,2023,9.09,9.33
Agam,2024,9.13,9.34
Alor,2018,8.32,7.4
Alor,2019,8.56,7.68
Alor,2020,8.88,8.0
Alor,2021,8.89,8.01
Alor,2022,8.9,8.02
Alor,2023,8.92,8.04
Alor,2024,8.93,8.32
Asahan,2018,8.74,8.25
Asahan,2019,8.83,8.26
Asahan,2020,8.94,8.61
Asahan,2021,8.95,8.62
Asahan,2022,8.97,8.64
Asahan,2023,8.99,8.65
Asahan,2024,9.07,8.66
Asmat,2018,5.69,3.96
Asmat,2019,5.76,4.05
Asmat,2020,5.86,4.29
Asmat,2021,6.04,4.43
Asmat,2022,6.36,4.7
Asmat,2023,6.6,4.83
Asmat,2024,6.81,5.1
Badung,2018,10.83,9.26
Badung,2019,10.92,9.69
Badung,2020,10.93,9.7
Badung,2021,11.08,9.97
Badung,2022,11.09,10.07
Badung,2023,11.32,10.52
