Provinsi/Kabupaten/Kota,Angka Harapan Hidup (AHH) Menurut Kabupaten/Kota dan Jenis Kelamin_Laki-Laki_2016,Angka Harapan Hidup (AHH) Menurut Kabupaten/Kota dan Jenis Kelamin_Laki-Laki_2017,Angka Harapan Hidup (AHH) Menurut Kabupaten/Kota dan Jenis Kelamin_Laki-Laki_2018,Angka Harapan Hidup (AHH) Menurut Kabupaten/Kota dan Jenis Kelamin_Perempuan_2016,Angka Harapan Hidup (AHH) Menurut Kabupaten/Kota dan Jenis Kelamin_Perempuan_2017,Angka Harapan Hidup (AHH) Menurut Kabupaten/Kota dan Jenis Kelamin_Perempuan_2018
ACEH,67.61,67.62,67.73,71.52,71.55,71.67
Simeulue,67.61,62.93,63.03,71.52,66.77,66.88
Aceh Singkil,67.61,65.13,65.22,71.52,68.98,69.08
Aceh Selatan,67.61,61.93,62.06,71.52,65.73,65.86
Aceh Tenggara,67.61,65.59,65.74,71.52,69.54,69.69
Aceh Timur,67.61,66.28,66.39,71.52,70.25,70.36
Aceh Tengah,67.61,66.66,66.75,71.52,70.45,70.54
Aceh Barat,67.61,65.59,65.69,71.52,69.54,69.65
Aceh Besar,67.61,67.56,67.63,71.52,71.43,71.5
Pidie,67.61,64.57,64.67,71.52,68.48,68.58
Bireuen,67.61,68.79,68.92,71.52,72.7,72.81
Aceh Utara,67.61,66.63,66.7,71.52,70.47,70.54
Aceh Barat Daya,67.61,62.54,62.68,71.52,66.36,66.5
Gayo Lues,67.61,63.01,63.15,71.52,66.85,66.99
Aceh Tamiang,67.61,67.13,67.26,71.52,71.08,71.2
Nagan Raya,67.61,66.72,66.85,71.52,70.68,70.81
Aceh Jaya,67.61,64.75,64.86,71.52,68.67,68.78
Bener Meriah,67.61,66.87,66.96,71.52,70.82,70.91
Pidie Jaya,67.61,67.65,67.77,71.52,71.6,71.73
Kota Banda Aceh,67.61,68.95,69.09,71.52,72.86,73
Kota Sabang,67.61,68.07,68.19,71.52,72,72.12
Kota Langsa,67.61,67.03,67.13,71.52,70.98,71.08
Kota Lhokseumawe,67.61,69.13,69.26,71.52,73.03,73.16
Kota Subulussalam,67.61,61.61,61.73,71.52,65.4,65.53
SUMATERA UTARA,66.48,66.49,66.73,70.29,70.29,70.52
Nias,66.48,67.15,67.4,70.29,71.1,71.34
Mandailing Natal,66.48,60.05,60.32,70.29,63.78,64.05
Tapanuli Selatan,66.48,62.32,62.57,70.29,66.13,66.41
Tapanuli Tengah,66.48,64.79,64.95,70.29,68.55,68.71
Tapanuli Utara,66.48,65.83,66.08,70.29,69.79,70.04
Toba Samosir / Toba,66.48,67.33,67.56,70.29,71.28,71.51
Labuhan Batu,66.48,67.53,67.69,70.29,71.35,71.51
Asahan,66.48,65.54,65.76,70.29,69.49,69.72
Simalungun,66.48,68.51,68.73,70.29,72.44,72.66
Dairi,66.48,66.09,66.36,70.29,70.06,70.36
Karo,66.48,68.75,68.95,70.29,72.67,72.87
Deli Serdang,66.48,69.1,69.3,70.29,73,73.2
Langkat,66.48,65.9,66.17,70.29,69.86,70.16
Nias Selatan,66.48,65.96,66.2,70.29,69.92,70.19
Humbang Hasundutan,66.48,66.37,66.65,70.29,70.33,70.61
Pakpak Bharat,66.48,63.07,63.27,70.29,66.91,67.16
Samosir,66.48,68.66,68.85,70.29,72.59,72.78
Serdang Bedagai,66.48,65.75,66.04,70.29,69.71,70
Batu Bara,66.48,64.1,64.38,70.29,67.98,68.26
Padang Lawas Utara,66.48,64.69,64.88,70.29,68.47,68.66
Padang Lawas,66.48,64.49,64.67,70.29,68.39,68.58
Labuhan Batu Selatan,66.48,66.29,66.54,70.29,70.06,70.31
Labuhan Batu Utara,66.48,66.87,67.05,70.29,70.83,71.01
Nias Utara,66.48,66.74,66.95,70.29,70.7,70.91
Nias Barat,66.48,66.24,66.46,70.29,70.21,70.43
Kota Sibolga,66.48,66.01,66.31,70.29,69.98,70.29
Kota Tanjung Balai,66.48,60.35,60.66,70.29,64.09,64.41
Kota Pematang Siantar,66.48,70.66,70.95,70.29,74.48,74.79
Kota Tebing Tinggi,66.48,68.25,68.43,70.29,72.19,72.38
Kota Medan,66.48,70.43,70.67,70.29,74.27,74.51
Kota Binjai,66.48,69.76,69.96,70.29,73.63,73.83
Kota Padangsidimpuan,66.48,66.51,66.83,70.29,70.34,70.66
Kota Gunungsitoli,66.48,68.39,68.64,70.29,72.33,72.58
SUMATERA BARAT,66.9,66.94,67.16,70.65,70.7,70.93
Kepulauan Mentawai,66.9,62.46,62.57,70.65,66.22,66.35
Pesisir Selatan,66.9,68.23,68.44,70.65,72.16,72.35
Solok,66.9,65.62,65.91,70.65,69.57,69.88
Sijunjung,66.9,63.45,63.69,70.65,67.31,67.56
Tanah Datar,66.9,67.07,67.34,70.65,71.03,71.3
Padang Pariaman,66.9,65.92,66.19,70.65,69.88,70.15
Agam,66.9,69.58,69.84,70.65,73.46,73.72
Lima Puluh Kota,66.9,67.28,67.43,70.65,71.23,71.39
Pasaman,66.9,64.54,64.82,70.65,68.44,68.73
Solok Selatan,66.9,64.91,65.2,70.65,68.83,69.12
Dharmasraya,66.9,68.42,68.71,70.65,72.35,72.64
