units,dropouts,learning_rate,f1_pos_label_1,f1_weighted,f1_macro
"[64, 16]","[0.3, 0.5]",0.01,0.9896027447754857,0.981978112402992,0.963476039848668
[64],[0.3],0.005,0.989379499205903,0.9815099775232986,0.9624129703848014
[32],[0.5],0.01,0.9891038157471815,0.981264918224705,0.9622429877167566
[32],[0.2],0.005,0.9888830045612381,0.9807963502516,0.9611740037020513
"[64, 32]","[0.3, 0.3]",0.005,0.988888293333798,0.9807688259254038,0.9610674426726873
"[64, 16]","[0.3, 0.2]",0.01,0.9886295516505311,0.9804560391484402,0.960623839760914
[16],[0.2],0.01,0.9886471048721629,0.9803855123291808,0.9603384233648201
"[64, 32]","[0.5, 0.3]",0.005,0.9881304575714346,0.9797520309296806,0.9594216192757976
"[32, 16]","[0.2, 0.2]",0.005,0.9881352337492689,0.9797331188981818,0.9593453946524123
"[64, 16]","[0.5, 0.3]",0.005,0.988152102461313,0.9796656292895713,0.95907193659045
"[64, 16]","[0.5, 0.2]",0.01,0.9881677842011746,0.9796013682395291,0.9588111155223259
[32],[0.5],0.005,0.9881681392016636,0.9795947096473498,0.9587895494939386
"[64, 16]","[0.3, 0.5]",0.005,0.9879201393955833,0.979238937898737,0.9581711400328635
[16],[0.3],0.005,0.9882046586465862,0.9794294455956202,0.958131274234591
[128],[0.5],0.005,0.9879488411853231,0.9791002724670154,0.9576289311620242
"[64, 32]","[0.2, 0.2]",0.01,0.9876856362729619,0.9788204082877469,0.9573071476693534
"[64, 16]","[0.5, 0.3]",0.01,0.9879752726360428,0.9789851738022134,0.95716895103648
[32],[0.3],0.005,0.9876994037257437,0.9787524681253794,0.957043810243469
"[128, 16]","[0.3, 0.2]",0.001,0.9876997838931216,0.9787513115551763,0.957039183376795
[16],[0.2],0.005,0.9876997933833928,0.9787522322276937,0.9570379977984578
"[128, 32]","[0.3, 0.5]",0.005,0.9874291201817496,0.9784917332400909,0.9568041001157193
"[128, 32]","[0.5, 0.3]",0.005,0.9874357446422916,0.9784608979503538,0.9566823012382045
"[128, 64]","[0.3, 0.5]",0.005,0.9874456023200722,0.9784110146510333,0.9564872317111903
"[64, 32]","[0.3, 0.5]",0.005,0.987448595056303,0.978404751735885,0.9564597853824107
[64],[0.5],0.005,0.9877347893211179,0.9786033574501282,0.9564423988348495
"[128, 64]","[0.3, 0.5]",0.01,0.9874578453796836,0.9783722903763842,0.9563255300309391
"[64, 16]","[0.2, 0.5]",0.01,0.98717489065952,0.978152085360272,0.9562581362081343
"[128, 16]","[0.3, 0.2]",0.005,0.9874715355945168,0.978314638037872,0.9560931086303879
[64],[0.2],0.005,0.9871882294388832,0.9781068751787109,0.9560690358173574
"[64, 16]","[0.5, 0.5]",0.005,0.9871926179516576,0.978082884435649,0.9559782763994212
"[128, 16]","[0.3, 0.3]",0.001,0.9874782136823422,0.978274457103608,0.9559427433842348
"[128, 16]","[0.5, 0.3]",0.005,0.987482132391098,0.9782578266653639,0.9558746465746132
"[128, 32]","[0.2, 0.2]",0.001,0.987223193488643,0.9779600780856913,0.9554796949760561
"[128, 64]","[0.2, 0.3]",0.01,0.9872326251814947,0.9779157408015654,0.9553061180772842
"[128, 16]","[0.5, 0.5]",0.005,0.9869506348141012,0.9777033955666732,0.9552626622887074
[16],[0.3],0.01,0.9872435792693461,0.9778605863442403,0.9550919206584348
"[64, 32]","[0.3, 0.2]",0.005,0.9869717606076387,0.977607623250128,0.9548843478010135
"[128, 64]","[0.5, 0.3]",0.005,0.9869765786659354,0.9775939194802347,0.9548244517478789
"[128, 32]","[0.5, 0.2]",0.01,0.9869779608762723,0.9775869035311532,0.9547978710605506
[128],[0.2],0.01,0.9872660524762676,0.9777692589452109,0.9547216452214897
"[128, 16]","[0.5, 0.5]",0.01,0.9866992344405564,0.9773546565525747,0.9546788183222065
"[128, 32]","[0.3, 0.5]",0.01,0.9867042742020429,0.9773221145189886,0.9545551349304313
"[64, 16]","[0.2, 0.3]",0.01,0.9869923081110167,0.9775259712612238,0.954552592219435
"[128, 64]","[0.5, 0.2]",0.005,0.9867126664710663,0.977293768372336,0.9544386510204704
"[64, 32]","[0.2, 0.2]",0.005,0.9867188114310211,0.9772735677351388,0.9543532964921896
"[64, 16]","[0.3, 0.3]",0.005,0.9870057916594522,0.9774661618016749,0.9543158653863516
"[128, 16]","[0.5, 0.3]",0.01,0.986722771601027,0.9772537929374704,0.95427596439791
"[128, 16]","[0.3, 0.3]",0.005,0.9864500369404361,0.9769941854417645,0.954048508705473
"[128, 64]","[0.5, 0.3]",0.001,0.9867596833355119,0.9770913714865529,0.9536301455860746
"[128, 16]","[0.5, 0.2]",0.005,0.9864836179127244,0.9768590383060007,0.9535040379762826
"[128, 64]","[0.5, 0.2]",0.001,0.9867731229286986,0.9770298538286348,0.9533834878513172
"[64, 32]","[0.5, 0.5]",0.005,0.9865027305197912,0.9767801579619437,0.9531853346146492
[32],[0.3],0.01,0.9865030827079658,0.976777624922676,0.9531764203965091
[128],[0.2],0.005,0.9865078492953264,0.9767477896483632,0.9530627732583036
"[128, 16]","[0.2, 0.5]",0.001,0.986518135623701,0.9767058603733844,0.9528956882535556
[32],[0.2],0.01,0.9865187960202855,0.9767051721310315,0.9528906149925588
"[128, 16]","[0.5, 0.2]",0.01,0.9865227371263102,0.9766867532623204,0.9528174398999868
"[128, 64]","[0.3, 0.3]",0.01,0.9865227320959917,0.9766731509278509,0.9527715179684423
"[64, 16]","[0.2, 0.5]",0.005,0.9862419602002935,0.9764635447704827,0.9527381603055622
"[64, 32]","[0.5, 0.2]",0.01,0.9862439584546442,0.9764603325732724,0.952720114049996
"[128, 64]","[0.2, 0.3]",0.005,0.986251677241034,0.9764269088835765,0.9525867628624954
"[64, 32]","[0.5, 0.2]",0.005,0.9862557037196059,0.9764170649123688,0.9525404101450011
"[64, 32]","[0.5, 0.5]",0.01,0.9859851037205559,0.9761564907683916,0.952302712002286
"[128, 16]","[0.3, 0.5]",0.005,0.9856951182926045,0.9759448179815098,0.9522858699362562
"[128, 16]","[0.3, 0.2]",0.01,0.9862742895983775,0.9763309369948701,0.9522033811704146
